
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16	clic-validation-000	compact	12192768	192	24125	6453417	12157110	405888	5576958	548208	201250	856083	858875	2591208	143917	1045542	6666	58786	58786	58786	58786	801512	63558457	7944808	7944828	37	62968758	7871095	7871116	40	61546366	7693296	7693316	40	57233621	7154203	7154224	64	8493940	8130642	R	Split	Split	7154224	63029034b22d35b6	24	1	1	1
p16-step	clic-validation-000	compact	1	40	41	0	7	44	129316	127026	26	19	648834	651792	1424625	137084	2862459	2361792	135541	865625	7693316	7466268	-227048	1	0
p16-step	clic-validation-000	compact	2	41	42	40	51	47	83084	68128	5	15	622958	380625	679833	139666	1823250	2566500	139334	981166	7466268	7437198	-29070	1	0
p16-step	clic-validation-000	compact	3	42	43	0	28	23	74240	61788	10	18	695125	358375	695667	121542	1870792	2376000	142667	884083	7437198	7395256	-41942	1	0
p16-step	clic-validation-000	compact	4	43	44	39	13	182	71176	69387	6	2	740000	121000	208417	151208	1220708	2397625	117542	894750	7395256	7379746	-15510	1	0
p16-step	clic-validation-000	compact	5	44	45	14	154	99	70172	70922	2	4	642625	121791	176209	124541	1065250	2486458	121875	898292	7379746	7369538	-10208	1	0
p16-step	clic-validation-000	compact	6	45	46	38	156	153	65562	64282	2	2	639292	64250	81708	125042	910375	2601625	128167	981834	7369538	7358884	-10654	1	0
p16-step	clic-validation-000	compact	7	46	47	8	73	68	65296	60518	2	9	650875	204834	387875	120083	1363792	2480958	116417	927125	7358884	7349996	-8888	1	0
p16-step	clic-validation-000	compact	8	47	48	41	72	61	58963	48684	12	3	654417	246791	469375	137584	1508375	2813250	134417	1079333	7349996	7333176	-16820	1	0
p16-step	clic-validation-000	compact	9	48	49	42	7	27	58736	59509	11	6	713958	219125	391208	129291	1453666	2523125	124000	962166	7333176	7306848	-26328	1	0
p16-step	clic-validation-000	compact	10	49	50	5	166	87	57757	52187	4	6	669000	231875	401583	152000	1454583	2769334	118459	1029125	7306848	7293300	-13548	1	0
p16-step	clic-validation-000	compact	11	50	51	39	13	168	49756	39238	4	2	703042	74958	112000	116500	1006625	2616917	117166	1004958	7293300	7280674	-12626	1	0
p16-step	clic-validation-000	compact	12	51	52	41	72	44	46934	31222	8	3	683709	222334	341625	132459	1380209	2904959	136917	1173958	7280674	7262916	-17758	1	0
p16-step	clic-validation-000	compact	13	52	53	48	27	23	45234	41736	4	2	745833	72625	110375	118083	1047000	2640292	138375	1025750	7262916	7254032	-8884	1	0
p16-step	clic-validation-000	compact	14	53	54	46	52	68	45098	35264	2	7	798166	175125	357750	126042	1457250	2702917	117375	1044458	7254032	7246652	-7380	1	0
p16-step	clic-validation-000	compact	15	54	55	0	32	30	45060	32914	5	4	704584	106084	176833	116458	1104084	2683416	129292	1071250	7246652	7225032	-21620	1	0
p16-step	clic-validation-000	compact	16	55	56	18	187	163	44256	48926	2	2	859209	110500	92625	122791	1185292	2776292	130041	1173500	7225032	7220224	-4808	1	0
p16-step	clic-validation-000	compact	17	56	57	7	121	139	42195	38944	4	1	738000	93708	134625	121333	1087750	2765625	130125	1218833	7220224	7210470	-9754	1	0
p16-step	clic-validation-000	compact	18	57	58	39	13	25	41725	24960	3	1	889333	47583	61417	126958	1125375	2901875	133209	1202750	7210470	7199946	-10524	1	0
p16-step	clic-validation-000	compact	19	58	59	42	7	15	40746	35649	10	3	740959	155459	278542	132000	1307084	2826959	162375	1332625	7199946	7194900	-5046	1	0
p16-step	clic-validation-000	compact	20	59	60	42	7	10	40736	29454	7	2	881958	106125	177709	119375	1285291	2789167	121334	1188375	7194900	7180880	-14020	1	0
p16-step	clic-validation-000	compact	21	60	61	21	48	188	40070	35526	2	2	742250	65208	78125	119458	1005167	2943042	150458	1350542	7180880	7172260	-8620	1	0
p16-step	clic-validation-000	compact	22	61	62	6	119	173	39956	36163	2	4	839000	125875	199750	137917	1302708	2965458	138375	1198000	7172260	7161440	-10820	1	0
p16-step	clic-validation-000	compact	23	62	63	47	40	61	38033	38103	2	2	792875	60709	77583	120791	1052083	3013708	125083	1314959	7161440	7160344	-1096	1	0
p16-step	clic-validation-000	compact	24	63	64	20	60	167	37840	34909	2	5	777958	116458	188041	117792	1200416	2934625	130125	1200625	7160344	7154224	-6120	1	0
p16	clic-validation-000	low-latency	12192768	48	2375	6292500	12157110	202176	1722625	133458	70625	359666	371375	432250	29917	374500	2458	19031	19031	19031	19031	274480	64535336	8066917	8066938	15	64653597	8081700	8081720	16	64393593	8049200	8049220	15	62506404	7813301	7813322	16	8493940	8259942	R	Split	Split	7813322	ab3f10d8dca2d9dc	1	1	1	1
p16-step	clic-validation-000	low-latency	1	15	16	0	3	43	540051	494966	5	10	236500	263041	520375	32166	1052250	468500	30708	352083	8049220	7813322	-235898	1	0
p16	clic-validation-001	compact	9437184	144	3250	4930625	9398430	304416	4181125	390542	128416	557917	532416	1310000	85750	547083	3542	48562	48562	48562	48562	619936	49954539	6244318	6244338	26	50061350	6257669	6257690	24	48996586	6124574	6124594	26	45943640	5742955	5742976	64	6492644	6257982	R	Split	Split	5742976	cfcd536023489f71	38	1	1	1
p16-step	clic-validation-001	compact	1	26	27	0	143	56	150168	135998	6	9	407833	259209	522834	86791	1276708	1412750	105250	632791	6124594	6063386	-61208	1	0
p16-step	clic-validation-001	compact	2	27	28	18	19	118	113316	113852	2	6	454834	125916	214542	91625	887000	1416833	94042	635000	6063386	6040620	-22766	1	0
p16-step	clic-validation-001	compact	3	28	29	0	143	129	85263	67229	2	6	437292	108500	184542	87333	817750	1296958	95542	581084	6040620	6022244	-18376	1	0
p16-step	clic-validation-001	compact	4	29	30	26	7	56	74668	58665	5	3	406709	143750	248500	87417	886459	1388375	92500	666167	6022244	5993570	-28674	1	0
p16-step	clic-validation-001	compact	5	30	31	3	20	46	74506	68979	1	11	479583	254625	455458	91125	1280875	1360125	86708	609958	5993570	5984406	-9164	1	0
p16-step	clic-validation-001	compact	6	31	32	6	21	31	71931	64068	5	6	421416	194250	353583	84917	1054250	1356125	91375	616875	5984406	5972980	-11426	1	0
p16-step	clic-validation-001	compact	7	32	33	1	8	138	71256	59087	12	3	441250	297250	547959	84500	1371042	1439125	106833	752083	5972980	5968094	-4886	1	0
p16-step	clic-validation-001	compact	8	33	34	1	8	51	70220	51215	3	9	526750	235083	430708	93625	1286250	1466459	86750	669292	5968094	5947628	-20466	1	0
p16-step	clic-validation-001	compact	9	34	35	2	66	106	61512	51287	3	14	452583	343250	644792	83250	1523917	1496833	86208	677500	5947628	5935502	-12126	1	0
p16-step	clic-validation-001	compact	10	35	36	32	138	104	55944	49239	1	2	463500	44333	43208	83541	634750	1539833	110667	858542	5935502	5928564	-6938	1	0
p16-step	clic-validation-001	compact	11	36	37	25	11	126	55380	55279	1	5	495667	97583	157333	106167	856917	1644042	98666	757375	5928564	5921652	-6912	1	0
p16-step	clic-validation-001	compact	12	37	38	34	94	91	53225	44264	5	9	508917	282667	561167	115125	1468000	1595458	98458	750875	5921652	5907960	-13692	1	0
p16-step	clic-validation-001	compact	13	38	39	6	21	50	48236	40690	2	3	485125	74417	108875	84000	752500	1694750	111583	885667	5907960	5896668	-11292	1	0
p16-step	clic-validation-001	compact	14	39	40	27	136	118	43757	47561	4	2	594417	90166	140792	98583	924000	1731000	100084	862875	5896668	5883576	-13092	1	0
p16-step	clic-validation-001	compact	15	40	41	34	94	1	43756	28897	5	2	600917	132458	205625	96458	1035625	1707083	103875	823083	5883576	5879712	-3864	1	0
p16-step	clic-validation-001	compact	16	41	42	10	95	72	42501	33647	1	3	527750	104458	89125	103625	825083	1816167	93917	880083	5879712	5873312	-6400	1	0
p16-step	clic-validation-001	compact	17	42	43	4	33	54	42128	41047	2	3	591542	95625	147459	97709	932417	1816542	87250	839958	5873312	5865692	-7620	1	0
p16-step	clic-validation-001	compact	18	43	44	33	89	52	42075	34829	2	7	539167	174667	305333	92375	1111583	1797875	96833	929416	5865692	5856788	-8904	1	0
p16-step	clic-validation-001	compact	19	44	45	28	128	127	39164	56878	5	1	645458	83583	128791	91292	949250	1766083	91833	862500	5856788	5844814	-11974	1	0
p16-step	clic-validation-001	compact	20	45	46	42	32	67	38646	35561	1	2	549459	47209	45709	84958	727459	1756500	97042	876417	5844814	5838492	-6322	1	0
p16-step	clic-validation-001	compact	21	46	47	12	120	105	38174	34868	1	1	557917	22834	834	85084	666833	1834459	94375	1052291	5838492	5834134	-4358	1	0
p16-step	clic-validation-001	compact	22	47	48	34	94	45	37840	22239	3	2	606125	84667	123375	103917	918208	1873500	87291	904250	5834134	5829392	-4742	1	0
p16-step	clic-validation-001	compact	23	48	49	11	137	112	35000	34394	3	4	570375	110959	179875	90917	952209	1816916	90000	912709	5829392	5819938	-9454	1	0
p16-step	clic-validation-001	compact	24	49	50	33	16	108	34458	24394	1	2	577791	42792	40625	85708	746958	2060208	94541	1072250	5819938	5815760	-4178	1	0
p16-step	clic-validation-001	compact	25	50	51	26	7	6	34071	28547	4	1	658000	79625	113958	90250	941959	1930042	109166	1049459	5815760	5813814	-1946	1	0
p16-step	clic-validation-001	compact	26	51	52	18	19	23	33281	33671	1	1	627083	15417	1042	100125	743791	1991458	101125	1041959	5813814	5809606	-4208	1	0
p16-step	clic-validation-001	compact	27	52	53	43	43	52	32244	25426	6	4	682667	209167	385667	106291	1383917	1939791	87667	1011583	5809606	5791956	-17650	1	0
p16-step	clic-validation-001	compact	28	53	54	2	142	66	31672	50570	4	1	613458	80333	117041	84167	895125	1933666	87542	1004834	5791956	5786374	-5582	1	0
p16-step	clic-validation-001	compact	29	54	55	26	7	116	30705	22481	3	1	621750	59125	73875	86541	841375	1949750	121292	1187625	5786374	5779058	-7316	1	0
p16-step	clic-validation-001	compact	30	55	56	30	85	71	29727	39373	2	7	721916	197875	355000	109542	1384375	2067584	94917	1089167	5779058	5775042	-4016	1	0
p16-step	clic-validation-001	compact	31	56	57	38	15	50	28749	22290	3	1	688209	56917	71500	88916	905625	2044208	94708	1082083	5775042	5770218	-4824	1	0
p16-step	clic-validation-001	compact	32	57	58	29	74	22	28577	21028	2	1	778583	50625	50041	104750	984125	2235708	103833	1225167	5770218	5764076	-6142	1	0
p16-step	clic-validation-001	compact	33	58	59	28	128	133	27349	25232	2	3	757792	79792	99500	93375	1030583	2213334	120708	1179375	5764076	5760102	-3974	1	0
p16-step	clic-validation-001	compact	34	59	60	2	142	80	27063	22484	1	3	707875	60083	82167	97750	948000	2163167	92792	1231834	5760102	5757006	-3096	1	0
p16-step	clic-validation-001	compact	35	60	61	48	112	113	25856	21971	1	3	672583	59583	76000	87875	896166	2074084	91500	1123500	5757006	5754260	-2746	1	0
p16-step	clic-validation-001	compact	36	61	62	14	88	73	24911	20345	1	1	674959	23541	917	88291	787792	2087917	88750	1161541	5754260	5751718	-2542	1	0
p16-step	clic-validation-001	compact	37	62	63	7	110	124	24644	28413	2	2	690666	58750	74500	90917	914875	2138167	98958	1152083	5751718	5746360	-5358	1	0
p16-step	clic-validation-001	compact	38	63	64	30	26	85	24359	22543	2	1	695167	45667	43500	88250	872667	2115208	90500	1175916	5746360	5742976	-3384	1	0
p16	clic-validation-001	low-latency	9437184	40	2625	4763125	9398430	168480	1285083	105958	47708	267375	264125	316583	22958	258500	1374	16334	16334	16334	16334	225784	50528909	6316114	6316134	12	50661167	6332646	6332666	11	50393004	6299126	6299146	12	49354678	6169335	6169356	16	6492644	6309214	R	Split	Split	6169356	3feec2167c55bb2d	4	1	1	1
p16-step	clic-validation-001	low-latency	1	12	13	0	31	11	216589	227751	5	7	162250	239500	473375	31583	907167	359750	26458	333667	6299146	6232120	-67026	1	0
p16-step	clic-validation-001	low-latency	2	13	14	1	0	18	155983	181161	2	3	186042	109291	147583	30417	473417	371500	26791	332333	6232120	6208366	-23754	1	0
p16-step	clic-validation-001	low-latency	3	14	15	2	34	23	151431	160673	2	4	202542	118959	187250	25042	533958	398084	26667	350125	6208366	6180552	-27814	1	0
p16-step	clic-validation-001	low-latency	4	15	16	12	3	12	125701	171228	2	5	200416	148083	259250	25375	633291	418250	25084	490291	6180552	6169356	-11196	1	0
p16	clic-validation-002	compact	9437184	144	6959	4866583	9434830	304416	3892292	392542	134208	481959	440875	1079250	100000	462958	3997	36936	36936	36936	36936	571272	47427354	5928420	5928440	22	47752881	5969111	5969132	21	47086641	5885831	5885852	22	41776806	5222101	5222122	64	7003512	5799410	R	Split	Split	5222122	c0fa268acccaa876	42	1	1	1
