
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16	clic-validation-000	compact	12192768	192	52958	7051750	12157110	405888	5689916	541166	185167	853959	850375	2497333	151667	996542	6705	58786	58786	58786	58786	801512	63558457	7944808	7944828	37	62968758	7871095	7871116	40	61546366	7693296	7693316	40	57233621	7154203	7154224	64	8493940	8130642	R	Split	Split	7154224	63029034b22d35b6	24	1	1	1
p16-step	clic-validation-000	compact	1	40	41	0	7	44	129316	127026	26	19	705750	751917	1449542	130000	3037333	2499917	150667	903834	7693316	7466268	-227048	1	0
p16-step	clic-validation-000	compact	2	41	42	40	51	47	83084	68128	5	15	624334	332375	644333	112459	1713584	2571167	133167	910667	7466268	7437198	-29070	1	0
p16-step	clic-validation-000	compact	3	42	43	0	28	23	74240	61788	10	18	645000	378417	714250	125209	1862959	2438459	117042	906333	7437198	7395256	-41942	1	0
p16-step	clic-validation-000	compact	4	43	44	39	13	182	71176	69387	6	2	674542	119250	185709	120000	1099583	2710708	158417	994084	7395256	7379746	-15510	1	0
p16-step	clic-validation-000	compact	5	44	45	14	154	99	70172	70922	2	4	654875	115167	180250	127333	1077750	2447083	115625	959291	7379746	7369538	-10208	1	0
p16-step	clic-validation-000	compact	6	45	46	38	156	153	65562	64282	2	2	640334	62792	80833	110375	894500	2636125	144000	1149125	7369538	7358884	-10654	1	0
p16-step	clic-validation-000	compact	7	46	47	8	73	68	65296	60518	2	9	716292	219583	398583	124125	1458709	2664166	128042	1003042	7358884	7349996	-8888	1	0
p16-step	clic-validation-000	compact	8	47	48	41	72	61	58963	48684	12	3	687333	268083	477959	121333	1554750	2851000	135000	1121375	7349996	7333176	-16820	1	0
p16-step	clic-validation-000	compact	9	48	49	42	7	27	58736	59509	11	6	697417	218125	405333	115291	1436208	2562958	133583	993708	7333176	7306848	-26328	1	0
p16-step	clic-validation-000	compact	10	49	50	5	166	87	57757	52187	4	6	671417	226292	398834	131083	1427834	2799792	119333	1147667	7306848	7293300	-13548	1	0
p16-step	clic-validation-000	compact	11	50	51	39	13	168	49756	39238	4	2	705334	76416	119834	123375	1025042	2702500	116541	999750	7293300	7280674	-12626	1	0
p16-step	clic-validation-000	compact	12	51	52	41	72	44	46934	31222	8	3	750208	220834	369209	111334	1451833	2648917	118042	1048208	7280674	7262916	-17758	1	0
p16-step	clic-validation-000	compact	13	52	53	48	27	23	45234	41736	4	2	715500	73375	118959	110334	1018333	2752625	111958	1080292	7262916	7254032	-8884	1	0
p16-step	clic-validation-000	compact	14	53	54	46	52	68	45098	35264	2	7	844083	195459	335000	134667	1509458	3056625	112500	1081125	7254032	7246652	-7380	1	0
p16-step	clic-validation-000	compact	15	54	55	0	32	30	45060	32914	5	4	710042	105708	179667	119709	1115209	2811167	122875	1217167	7246652	7225032	-21620	1	0
p16-step	clic-validation-000	compact	16	55	56	18	187	163	44256	48926	2	2	837250	77875	91584	153916	1160667	3071458	157250	1212709	7225032	7220224	-4808	1	0
p16-step	clic-validation-000	compact	17	56	57	7	121	139	42195	38944	4	1	797542	93791	132500	110709	1134625	2866000	127583	1140542	7220224	7210470	-9754	1	0
p16-step	clic-validation-000	compact	18	57	58	39	13	25	41725	24960	3	1	807750	48292	62750	120083	1038917	2902875	120583	1119000	7210470	7199946	-10524	1	0
p16-step	clic-validation-000	compact	19	58	59	42	7	15	40746	35649	10	3	751834	171125	299875	117167	1340084	2936167	143875	1355500	7199946	7194900	-5046	1	0
p16-step	clic-validation-000	compact	20	59	60	42	7	10	40736	29454	7	2	805292	122416	199875	137542	1265167	2997959	127459	1206834	7194900	7180880	-14020	1	0
p16-step	clic-validation-000	compact	21	60	61	21	48	188	40070	35526	2	2	765583	61875	78833	115541	1021958	2971958	125167	1295417	7180880	7172260	-8620	1	0
p16-step	clic-validation-000	compact	22	61	62	6	119	173	39956	36163	2	4	811375	119167	195541	122334	1248500	3030208	131000	1215375	7172260	7161440	-10820	1	0
p16-step	clic-validation-000	compact	23	62	63	47	40	61	38033	38103	2	2	806833	87542	100625	126625	1122167	3224000	123667	1273875	7161440	7160344	-1096	1	0
p16-step	clic-validation-000	compact	24	63	64	20	60	167	37840	34909	2	5	784541	116708	193833	114250	1209500	3022375	116750	1332500	7160344	7154224	-6120	1	0
p16	clic-validation-000	low-latency	12192768	48	8916	6567125	12157110	202176	1756959	144333	64000	396000	419625	469625	31542	388416	2292	19031	19031	19031	19031	274480	64535336	8066917	8066938	15	64653597	8081700	8081720	16	64393593	8049200	8049220	15	62506404	7813301	7813322	16	8493940	8259942	R	Split	Split	7813322	ab3f10d8dca2d9dc	1	1	1	1
p16-step	clic-validation-000	low-latency	1	15	16	0	3	43	540051	494966	5	10	237209	270583	636500	39708	1184167	460625	37417	359166	8049220	7813322	-235898	1	0
p16	clic-validation-001	compact	9437184	144	6708	5002083	9398430	304416	4412042	402875	137666	629167	571959	1450584	92584	645333	4500	48562	48562	48562	48562	619936	49954539	6244318	6244338	26	50061350	6257669	6257690	24	48996586	6124574	6124594	26	45943640	5742955	5742976	64	6492644	6257982	R	Split	Split	5742976	cfcd536023489f71	38	1	1	1
p16-step	clic-validation-001	compact	1	26	27	0	143	56	150168	135998	6	9	456625	267375	543417	87417	1354917	1327083	87083	552750	6124594	6063386	-61208	1	0
p16-step	clic-validation-001	compact	2	27	28	18	19	118	113316	113852	2	6	402417	119291	210167	84041	816042	1335000	87083	587833	6063386	6040620	-22766	1	0
p16-step	clic-validation-001	compact	3	28	29	0	143	129	85263	67229	2	6	415291	110958	185459	84959	796791	1339792	83666	583750	6040620	6022244	-18376	1	0
p16-step	clic-validation-001	compact	4	29	30	26	7	56	74668	58665	5	3	446625	142084	252083	94292	935084	1354250	97583	604375	6022244	5993570	-28674	1	0
p16-step	clic-validation-001	compact	5	30	31	3	20	46	74506	68979	1	11	417250	257792	475625	81166	1231916	1382750	84167	673792	5993570	5984406	-9164	1	0
p16-step	clic-validation-001	compact	6	31	32	6	21	31	71931	64068	5	6	505167	231333	370833	101083	1208500	1567083	112375	690709	5984406	5972980	-11426	1	0
p16-step	clic-validation-001	compact	7	32	33	1	8	138	71256	59087	12	3	447292	296041	559667	96500	1399625	1513583	83667	650833	5972980	5968094	-4886	1	0
p16-step	clic-validation-001	compact	8	33	34	1	8	51	70220	51215	3	9	476542	240166	453583	88708	1259083	1544583	97958	803084	5968094	5947628	-20466	1	0
