
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16	clic-validation-000	compact	12192768	192	37459	6711250	12157110	405888	5943542	557834	205667	844875	830083	2516458	140375	856458	5835	58786	58786	58786	58786	801512	63558457	7944808	7944828	37	62968758	7871095	7871116	40	61546366	7693296	7693316	40	57233621	7154203	7154224	64	8493940	8130642	R	Split	Split	7154224	63029034b22d35b6	24	1	1	1
p16-step	clic-validation-000	compact	1	40	41	0	7	44	129316	127026	26	19	706958	679583	1392042	140916	2919541	2369833	128584	845292	7693316	7466268	-227048	1	0
p16-step	clic-validation-000	compact	2	41	42	40	51	47	83084	68128	5	15	651625	322208	630000	119375	1723292	2400166	145542	857458	7466268	7437198	-29070	1	0
p16-step	clic-validation-000	compact	3	42	43	0	28	23	74240	61788	10	18	645625	351792	711083	116916	1825500	2466458	120667	845084	7437198	7395256	-41942	1	0
p16-step	clic-validation-000	compact	4	43	44	39	13	182	71176	69387	6	2	629750	103416	173375	120958	1027583	2465958	126208	983000	7395256	7379746	-15510	1	0
p16-step	clic-validation-000	compact	5	44	45	14	154	99	70172	70922	2	4	786125	115583	176333	161750	1239917	2599458	144875	982625	7379746	7369538	-10208	1	0
p16-step	clic-validation-000	compact	6	45	46	38	156	153	65562	64282	2	2	684000	64375	81667	127083	957166	2492250	123083	983166	7369538	7358884	-10654	1	0
p16-step	clic-validation-000	compact	7	46	47	8	73	68	65296	60518	2	9	806917	217375	387041	122958	1534375	2499917	131125	986500	7358884	7349996	-8888	1	0
p16-step	clic-validation-000	compact	8	47	48	41	72	61	58963	48684	12	3	677125	239875	445000	119000	1481125	2544209	133875	1069792	7349996	7333176	-16820	1	0
p16-step	clic-validation-000	compact	9	48	49	42	7	27	58736	59509	11	6	764334	221291	428417	146541	1560667	2685125	133291	1016875	7333176	7306848	-26328	1	0
p16-step	clic-validation-000	compact	10	49	50	5	166	87	57757	52187	4	6	706750	202625	353708	137250	1400458	2781167	137375	1100000	7306848	7293300	-13548	1	0
p16-step	clic-validation-000	compact	11	50	51	39	13	168	49756	39238	4	2	782875	87959	121125	131917	1123958	2887166	150708	1164458	7293300	7280674	-12626	1	0
p16-step	clic-validation-000	compact	12	51	52	41	72	44	46934	31222	8	3	702208	170875	305875	120625	1299625	2723125	134917	1003875	7280674	7262916	-17758	1	0
p16-step	clic-validation-000	compact	13	52	53	48	27	23	45234	41736	4	2	740000	69875	107166	116125	1033208	2695583	123667	993500	7262916	7254032	-8884	1	0
p16-step	clic-validation-000	compact	14	53	54	46	52	68	45098	35264	2	7	703792	168833	293041	118167	1283959	2846291	162792	1212708	7254032	7246652	-7380	1	0
p16-step	clic-validation-000	compact	15	54	55	0	32	30	45060	32914	5	4	799750	116709	186833	126291	1229667	3013041	137167	1097375	7246652	7225032	-21620	1	0
p16-step	clic-validation-000	compact	16	55	56	18	187	163	44256	48926	2	2	721666	71042	85333	118416	996583	2885708	118917	1073833	7225032	7220224	-4808	1	0
p16-step	clic-validation-000	compact	17	56	57	7	121	139	42195	38944	4	1	737583	100458	134417	127875	1100417	2871791	138625	1096250	7220224	7210470	-9754	1	0
p16-step	clic-validation-000	compact	18	57	58	39	13	25	41725	24960	3	1	767500	51958	54833	131833	1006250	3051917	144125	1281792	7210470	7199946	-10524	1	0
p16-step	clic-validation-000	compact	19	58	59	42	7	15	40746	35649	10	3	796208	149917	269084	126500	1341875	2867041	119625	1115709	7199946	7194900	-5046	1	0
p16-step	clic-validation-000	compact	20	59	60	42	7	10	40736	29454	7	2	796292	110416	238583	152709	1298250	3096583	133375	1238667	7194900	7180880	-14020	1	0
p16-step	clic-validation-000	compact	21	60	61	21	48	188	40070	35526	2	2	854125	107917	162084	138459	1262709	2907292	126250	1173083	7180880	7172260	-8620	1	0
p16-step	clic-validation-000	compact	22	61	62	6	119	173	39956	36163	2	4	800708	115792	180125	126209	1222917	3002709	127042	1133167	7172260	7161440	-10820	1	0
p16-step	clic-validation-000	compact	23	62	63	47	40	61	38033	38103	2	2	775083	59583	75917	122458	1033125	2895833	130541	1317625	7161440	7160344	-1096	1	0
p16-step	clic-validation-000	compact	24	63	64	20	60	167	37840	34909	2	5	949417	121458	267833	136875	1475709	3234625	140250	1359041	7160344	7154224	-6120	1	0
p16	clic-validation-000	low-latency	12192768	48	2916	6647791	12157110	202176	1642125	129292	59709	343292	357625	441916	30125	322291	2000	19031	19031	19031	19031	274480	64535336	8066917	8066938	15	64653597	8081700	8081720	16	64393593	8049200	8049220	15	62506404	7813301	7813322	16	8493940	8259942	R	Split	Split	7813322	ab3f10d8dca2d9dc	1	1	1	1
p16-step	clic-validation-000	low-latency	1	15	16	0	3	43	540051	494966	5	10	220750	235375	480084	31167	967458	437833	38000	342291	8049220	7813322	-235898	1	0
p16	clic-validation-001	compact	9437184	144	3583	5101917	9398430	304416	4343708	391250	129708	560792	511834	1350500	84666	561917	4167	48562	48562	48562	48562	619936	49954539	6244318	6244338	26	50061350	6257669	6257690	24	48996586	6124574	6124594	26	45943640	5742955	5742976	64	6492644	6257982	R	Split	Split	5742976	cfcd536023489f71	38	1	1	1
