
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16	clic-validation-000	compact	12192768	192	40333	6503833	12157110	405888	5311708	561209	204625	880583	834667	2554250	151875	992334	9498	58786	58786	58786	58786	801512	63558457	7944808	7944828	37	62968758	7871095	7871116	40	61546366	7693296	7693316	40	57233621	7154203	7154224	64	8493940	8130642	R	Split	Split	7154224	63029034b22d35b6	24	1	1	1
p16-step	clic-validation-000	compact	1	40	41	0	7	44	129316	127026	26	19	703250	673000	1354542	131083	2862000	2410042	133875	853042	7693316	7466268	-227048	1	0
p16-step	clic-validation-000	compact	2	41	42	40	51	47	83084	68128	5	15	641833	337917	622375	115459	1717666	2542125	139792	994875	7466268	7437198	-29070	1	0
p16-step	clic-validation-000	compact	3	42	43	0	28	23	74240	61788	10	18	737917	346750	686333	136875	1907875	2385833	118833	888625	7437198	7395256	-41942	1	0
p16-step	clic-validation-000	compact	4	43	44	39	13	182	71176	69387	6	2	644500	101209	180875	116292	1042958	2509708	138250	937417	7395256	7379746	-15510	1	0
p16-step	clic-validation-000	compact	5	44	45	14	154	99	70172	70922	2	4	636709	108792	169583	130250	1045459	2403166	128208	907625	7379746	7369538	-10208	1	0
p16-step	clic-validation-000	compact	6	45	46	38	156	153	65562	64282	2	2	644958	65792	81750	116250	908917	2528125	128208	988625	7369538	7358884	-10654	1	0
p16-step	clic-validation-000	compact	7	46	47	8	73	68	65296	60518	2	9	673458	199000	377958	114916	1365458	2472500	118167	905417	7358884	7349996	-8888	1	0
p16-step	clic-validation-000	compact	8	47	48	41	72	61	58963	48684	12	3	659750	238500	450334	117709	1466417	2509167	124000	932792	7349996	7333176	-16820	1	0
p16-step	clic-validation-000	compact	9	48	49	42	7	27	58736	59509	11	6	664792	228625	372375	128834	1394708	2544459	133125	932625	7333176	7306848	-26328	1	0
