
running 1 test
stream	id	layout	bytes	rgba_hash	stream_hash	encode_ns	project_exact
stream	clic-validation-000	default	8196184	464ce5db301ecb19	a6d6a17c6675f6b6	124892458	1
stream	clic-validation-000	single	8493940	464ce5db301ecb19	5039d3875dbd350d	63938833	1
stream	clic-validation-000	compact	7154224	464ce5db301ecb19	63029034b22d35b6	201274000	1
stream	clic-validation-000	low-latency	7813322	464ce5db301ecb19	ab3f10d8dca2d9dc	60651125	1
stream	clic-validation-000	compact-control	8130642	464ce5db301ecb19	0f02a28355405c35	134674833	1
stream	clic-validation-000	low-latency-control	8259942	464ce5db301ecb19	205e5806964e04fc	133364708	1
stream	clic-validation-001	default	6591856	ac6ff401cad1e56a	68b56c067bc9991c	90851667	1
stream	clic-validation-001	single	6492644	ac6ff401cad1e56a	ccddbda4a25123e2	47247459	1
stream	clic-validation-001	compact	5742976	ac6ff401cad1e56a	cfcd536023489f71	201992000	1
stream	clic-validation-001	low-latency	6169356	ac6ff401cad1e56a	3feec2167c55bb2d	49982416	1
stream	clic-validation-001	compact-control	6257982	ac6ff401cad1e56a	8cdded93ea38d0c4	102189125	1
stream	clic-validation-001	low-latency-control	6309214	ac6ff401cad1e56a	ba19efae1920b5b5	98961666	1
stream	clic-validation-002	default	6836132	53073efbc9fbc324	261ce55b789a8713	91056208	1
stream	clic-validation-002	single	7003512	53073efbc9fbc324	c89bf736feb661ec	48083792	1
stream	clic-validation-002	compact	5222122	53073efbc9fbc324	c0fa268acccaa876	198465042	1
stream	clic-validation-002	low-latency	5768924	53073efbc9fbc324	2c8cef912c5c5eea	48073292	1
stream	clic-validation-002	compact-control	5799410	53073efbc9fbc324	44ed3741c525c80c	97928542	1
stream	clic-validation-002	low-latency-control	5942826	53073efbc9fbc324	af8571cc2446a9be	95510583	1
stream	clic-validation-003	default	6725608	2d0e74cba29a55a5	d2a1f30bece4c899	90670791	1
stream	clic-validation-003	single	6632596	2d0e74cba29a55a5	b3ff513e8d196139	49867083	1
stream	clic-validation-003	compact	5499602	2d0e74cba29a55a5	edafd8cd4efcf311	196964459	1
stream	clic-validation-003	low-latency	6032326	2d0e74cba29a55a5	92d58978ea51d4c4	47310667	1
stream	clic-validation-003	compact-control	6050450	2d0e74cba29a55a5	e907a2e37937e785	103213917	1
stream	clic-validation-003	low-latency-control	6126922	2d0e74cba29a55a5	7d6a58d075d31a26	100998333	1
stream	clic-validation-004	default	5940292	4545a7582ba384f7	135de3a9848c7d1d	125720458	1
stream	clic-validation-004	single	6217656	4545a7582ba384f7	01bf0bc9a20a49c7	52728250	1
stream	clic-validation-004	compact	4349880	4545a7582ba384f7	8a76797a2b816cc0	193107083	1
stream	clic-validation-004	low-latency	4821434	4545a7582ba384f7	745128f6489bbc4e	53034250	1
stream	clic-validation-004	compact-control	5328258	4545a7582ba384f7	06ddd8677593609e	108567792	1
stream	clic-validation-004	low-latency-control	5437070	4545a7582ba384f7	2dc381d95ce7a611	107509334	1
stream	clic-validation-005	default	5929020	d810c411c455be8c	a45b086411ebc930	119338750	1
stream	clic-validation-005	single	5914660	d810c411c455be8c	9e4e532e51bb2237	46911750	1
stream	clic-validation-005	compact	4594352	d810c411c455be8c	f3231b28ac04583c	199205334	1
stream	clic-validation-005	low-latency	5021542	d810c411c455be8c	2738be230e8273f4	53563500	1
stream	clic-validation-005	compact-control	5539552	d810c411c455be8c	38ab4fcd4b83074a	100291125	1
stream	clic-validation-005	low-latency-control	5390698	d810c411c455be8c	2221ba24f8b7e39a	106374917	1
stream	clic-validation-006	default	5931342	f1f4f6e7dfa0083f	7f40b5938c070999	125250250	1
stream	clic-validation-006	single	6064388	f1f4f6e7dfa0083f	60f8200f90969775	49851209	1
stream	clic-validation-006	compact	4397490	f1f4f6e7dfa0083f	ee9e676b7bca9745	156951416	1
stream	clic-validation-006	low-latency	4967180	f1f4f6e7dfa0083f	a07a7d1057e966c0	48229542	1
stream	clic-validation-006	compact-control	5188746	f1f4f6e7dfa0083f	dc82c3867cd27ef5	109104250	1
stream	clic-validation-006	low-latency-control	5209140	f1f4f6e7dfa0083f	09cead9651c5fb23	107142958	1
stream	clic-validation-007	default	8390522	228a2c6b57b23249	75ec03b1b44dd461	143170083	1
stream	clic-validation-007	single	8713390	228a2c6b57b23249	d96f5c309a92a9ac	71673000	1
stream	clic-validation-007	compact	7410878	228a2c6b57b23249	f3387c1f0476b84b	218938208	1
stream	clic-validation-007	low-latency	7996552	228a2c6b57b23249	21ef1e39bf36d99f	63605166	1
stream	clic-validation-007	compact-control	7922454	228a2c6b57b23249	cab5aafc5dbe6bc5	136723791	1
stream	clic-validation-007	low-latency-control	8112576	228a2c6b57b23249	4bc674812323efaf	133878000	1
stream	clic-validation-008	default	4821292	dec398a774c113a2	a75b50d6c8626dc7	94518625	1
stream	clic-validation-008	single	5324192	dec398a774c113a2	a1f70e8403b36ea4	39794750	1
stream	clic-validation-008	compact	3828644	dec398a774c113a2	6affb49a9fedc6c1	182306958	1
stream	clic-validation-008	low-latency	4302942	dec398a774c113a2	f9b198b3b3854ce6	42873709	1
stream	clic-validation-008	compact-control	4327522	dec398a774c113a2	41057fcac4692baf	84278833	1
stream	clic-validation-008	low-latency-control	4391630	dec398a774c113a2	9c8d110f84c6ab0f	82130833	1
stream	clic-validation-009	default	4585812	6bc0d1593454772e	84632eb9c3e8e347	98859834	1
stream	clic-validation-009	single	5408128	6bc0d1593454772e	e0d7562793c6ff87	42174209	1
stream	clic-validation-009	compact	4367806	6bc0d1593454772e	799440ed508de8a2	214541833	1
stream	clic-validation-009	low-latency	4864354	6bc0d1593454772e	98bf29de4c3341e3	47069542	1
stream	clic-validation-009	compact-control	5063414	6bc0d1593454772e	5cec33e99360af39	83526833	1
stream	clic-validation-009	low-latency-control	5114026	6bc0d1593454772e	cd11260673851ac2	81508750	1
