id	layout	bytes	rgba_hash	stream_hash	source_groups	source_map_cells	source_row_runs	source_group_switches	source_token_group_switches	identity
clic-validation-000	single	8493940	464ce5db301ecb19	5039d3875dbd350d	1	0	0	0	0	exact
clic-validation-000	compact	8130642	464ce5db301ecb19	0f02a28355405c35	41	192	24192	16160	18173	exact
clic-validation-000	low-latency	8259942	464ce5db301ecb19	205e5806964e04fc	16	48	12096	7072	8830	exact
clic-validation-001	single	6492644	ac6ff401cad1e56a	ccddbda4a25123e2	1	0	0	0	0	exact
clic-validation-001	compact	6257982	ac6ff401cad1e56a	8cdded93ea38d0c4	37	144	18432	13568	14591	exact
clic-validation-001	low-latency	6309214	ac6ff401cad1e56a	ba19efae1920b5b5	16	40	9216	7040	8063	exact
clic-validation-002	single	7003512	53073efbc9fbc324	c89bf736feb661ec	1	0	0	0	0	exact
clic-validation-002	compact	5799410	53073efbc9fbc324	44ed3741c525c80c	30	144	18432	8704	9727	exact
clic-validation-002	low-latency	5942826	53073efbc9fbc324	af8571cc2446a9be	12	40	9216	4224	5375	exact
clic-validation-003	single	6632596	2d0e74cba29a55a5	b3ff513e8d196139	1	0	0	0	0	exact
clic-validation-003	compact	6050450	2d0e74cba29a55a5	e907a2e37937e785	34	144	18432	14080	15231	exact
clic-validation-003	low-latency	6126922	2d0e74cba29a55a5	7d6a58d075d31a26	16	40	9216	7808	8959	exact
clic-validation-004	single	6217656	4545a7582ba384f7	01bf0bc9a20a49c7	1	0	0	0	0	exact
clic-validation-004	compact	5328258	4545a7582ba384f7	06ddd8677593609e	15	144	18432	5888	6400	exact
clic-validation-004	low-latency	5437070	4545a7582ba384f7	2dc381d95ce7a611	9	40	9216	3200	3840	exact
clic-validation-005	single	5914660	d810c411c455be8c	9e4e532e51bb2237	1	0	0	0	0	exact
clic-validation-005	compact	5539552	d810c411c455be8c	38ab4fcd4b83074a	23	144	18432	11264	12242	exact
clic-validation-005	low-latency	5390698	d810c411c455be8c	2221ba24f8b7e39a	13	40	9216	6144	7295	exact
clic-validation-006	single	6064388	f1f4f6e7dfa0083f	60f8200f90969775	1	0	0	0	0	exact
clic-validation-006	compact	5188746	f1f4f6e7dfa0083f	dc82c3867cd27ef5	25	144	18432	9472	10623	exact
clic-validation-006	low-latency	5209140	f1f4f6e7dfa0083f	09cead9651c5fb23	16	40	9216	5376	6527	exact
clic-validation-007	single	8713390	228a2c6b57b23249	d96f5c309a92a9ac	1	0	0	0	0	exact
