stream	id	layout	bytes	rgba_hash	stream_hash	encode_ns	project_exact
stream	clic-validation-000	default	8196184	464ce5db301ecb19	a6d6a17c6675f6b6	125052333	1
stream	clic-validation-000	single	8493940	464ce5db301ecb19	5039d3875dbd350d	68890416	1
stream	clic-validation-000	compact	8130642	464ce5db301ecb19	0f02a28355405c35	174206334	1
stream	clic-validation-000	low-latency	8259942	464ce5db301ecb19	205e5806964e04fc	166364375	1
stream	clic-validation-001	default	6591856	ac6ff401cad1e56a	68b56c067bc9991c	92977750	1
stream	clic-validation-001	single	6492644	ac6ff401cad1e56a	ccddbda4a25123e2	52057208	1
stream	clic-validation-001	compact	6257982	ac6ff401cad1e56a	8cdded93ea38d0c4	130659834	1
stream	clic-validation-001	low-latency	6309214	ac6ff401cad1e56a	ba19efae1920b5b5	126025292	1
stream	clic-validation-002	default	6836132	53073efbc9fbc324	261ce55b789a8713	90648292	1
stream	clic-validation-002	single	7003512	53073efbc9fbc324	c89bf736feb661ec	51476708	1
stream	clic-validation-002	compact	5799410	53073efbc9fbc324	44ed3741c525c80c	128606167	1
stream	clic-validation-002	low-latency	5942826	53073efbc9fbc324	af8571cc2446a9be	122944709	1
stream	clic-validation-003	default	6725608	2d0e74cba29a55a5	d2a1f30bece4c899	91855625	1
stream	clic-validation-003	single	6632596	2d0e74cba29a55a5	b3ff513e8d196139	54040375	1
stream	clic-validation-003	compact	6050450	2d0e74cba29a55a5	e907a2e37937e785	132225083	1
stream	clic-validation-003	low-latency	6126922	2d0e74cba29a55a5	7d6a58d075d31a26	129413333	1
stream	clic-validation-004	default	5940292	4545a7582ba384f7	135de3a9848c7d1d	127728542	1
stream	clic-validation-004	single	6217656	4545a7582ba384f7	01bf0bc9a20a49c7	54323250	1
stream	clic-validation-004	compact	5328258	4545a7582ba384f7	06ddd8677593609e	132187917	1
stream	clic-validation-004	low-latency	5437070	4545a7582ba384f7	2dc381d95ce7a611	132242292	1
stream	clic-validation-005	default	5929020	d810c411c455be8c	a45b086411ebc930	120249166	1
stream	clic-validation-005	single	5914660	d810c411c455be8c	9e4e532e51bb2237	50814125	1
stream	clic-validation-005	compact	5539552	d810c411c455be8c	38ab4fcd4b83074a	123783000	1
stream	clic-validation-005	low-latency	5390698	d810c411c455be8c	2221ba24f8b7e39a	125689042	1
stream	clic-validation-006	default	5931342	f1f4f6e7dfa0083f	7f40b5938c070999	126963583	1
stream	clic-validation-006	single	6064388	f1f4f6e7dfa0083f	60f8200f90969775	52576667	1
stream	clic-validation-006	compact	5188746	f1f4f6e7dfa0083f	dc82c3867cd27ef5	133226250	1
stream	clic-validation-006	low-latency	5209140	f1f4f6e7dfa0083f	09cead9651c5fb23	132822125	1
stream	clic-validation-007	default	8390522	228a2c6b57b23249	75ec03b1b44dd461	120958500	1
stream	clic-validation-007	single	8713390	228a2c6b57b23249	d96f5c309a92a9ac	83696375	1
stream	clic-validation-007	compact	7922454	228a2c6b57b23249	cab5aafc5dbe6bc5	175490250	1
stream	clic-validation-007	low-latency	8112576	228a2c6b57b23249	4bc674812323efaf	171871041	1
stream	clic-validation-008	default	4821292	dec398a774c113a2	a75b50d6c8626dc7	98725917	1
stream	clic-validation-008	single	5324192	dec398a774c113a2	a1f70e8403b36ea4	44166291	1
stream	clic-validation-008	compact	4327522	dec398a774c113a2	41057fcac4692baf	109140375	1
stream	clic-validation-008	low-latency	4391630	dec398a774c113a2	9c8d110f84c6ab0f	105872875	1
stream	clic-validation-009	default	4585812	6bc0d1593454772e	84632eb9c3e8e347	100695958	1
stream	clic-validation-009	single	5408128	6bc0d1593454772e	e0d7562793c6ff87	45422584	1
stream	clic-validation-009	compact	5063414	6bc0d1593454772e	5cec33e99360af39	108476625	1
stream	clic-validation-009	low-latency	5114026	6bc0d1593454772e	cd11260673851ac2	107594250	1
stream	clic-validation-010	default	4596850	c9e307df409044b5	4e78b1e713c05022	62298584	1
stream	clic-validation-010	single	4753502	c9e307df409044b5	e9c4995858859ccd	35012125	1
stream	clic-validation-010	compact	3997470	c9e307df409044b5	e39fa39b81d063c4	92713500	1
stream	clic-validation-010	low-latency	4032212	c9e307df409044b5	b3f35799b19cb083	90221541	1
stream	clic-validation-011	default	2219464	209831bda5d4627c	34496a363e4130be	28862875	1
stream	clic-validation-011	single	2089316	209831bda5d4627c	3bb5281d1bca622c	16476334	1
stream	clic-validation-011	compact	1961344	209831bda5d4627c	9e7fedd69fae81d4	41945209	1
stream	clic-validation-011	low-latency	2023660	209831bda5d4627c	0dee869344112095	39369583	1
stream	clic-validation-012	default	5327640	3670defafa50ea4e	974970776d77cc97	78786334	1
stream	clic-validation-012	single	5484646	3670defafa50ea4e	c91242b4704f5bee	43491333	1
stream	clic-validation-012	compact	4891824	3670defafa50ea4e	c7ca321d2e5ff1ef	114639041	1
stream	clic-validation-012	low-latency	5008486	3670defafa50ea4e	c8a6ca1f27fee40c	111217250	1
stream	clic-validation-013	default	5522704	1cd21726ef8f533f	cffb1a687a67d8c4	78571542	1
stream	clic-validation-013	single	5657146	1cd21726ef8f533f	13368cae9db9e711	45230875	1
stream	clic-validation-013	compact	5058144	1cd21726ef8f533f	018d6fc3bf5a4998	114069916	1
stream	clic-validation-013	low-latency	5153972	1cd21726ef8f533f	d0fd577c198f05ca	111581625	1
stream	clic-validation-014	default	5417568	c2a93c8908bfb686	50c467e373e874e9	79065958	1
stream	clic-validation-014	single	5843580	c2a93c8908bfb686	347b4f1adcf1aff0	45283208	1
stream	clic-validation-014	compact	5293592	c2a93c8908bfb686	6839d747d9b3ecd3	111815291	1
stream	clic-validation-014	low-latency	5386808	c2a93c8908bfb686	2f0e2ce078dfa0e0	108063542	1
stream	clic-validation-015	default	5769074	c250b581a7aef503	917c347063502833	78056709	1
stream	clic-validation-015	single	5756418	c250b581a7aef503	fecd974faf6423db	44796542	1
stream	clic-validation-015	compact	5656200	c250b581a7aef503	e1e43c8a3678dc0d	112414667	1
stream	clic-validation-015	low-latency	5684412	c250b581a7aef503	e4114154d23303f0	108359083	1
stream	clic-validation-016	default	5331074	93bac67a01bb76e9	ea97b8fd9e601bd7	106690375	1
stream	clic-validation-016	single	5719120	93bac67a01bb76e9	fae47d708de26593	45389833	1
stream	clic-validation-016	compact	4555750	93bac67a01bb76e9	d74e0485d62c6a97	112505709	1
stream	clic-validation-016	low-latency	4701704	93bac67a01bb76e9	709af32520817fe5	113140667	1
stream	clic-validation-017	default	6910582	5976bb2cf09b055b	9dca386baa84de75	161251250	1
stream	clic-validation-017	single	7456520	5976bb2cf09b055b	9d34d150d714ba66	71203375	1
stream	clic-validation-017	compact	6691500	5976bb2cf09b055b	ec0a33bc3dd53d6d	171002542	1
stream	clic-validation-017	low-latency	6719656	5976bb2cf09b055b	00d466397d9cf7a6	168460125	1
stream	clic-validation-018	default	5479718	01f4dfd39c9dcea8	586971827b38044c	106253667	1
stream	clic-validation-018	single	5461664	01f4dfd39c9dcea8	07d1df74aefe3a34	43829083	1
stream	clic-validation-018	compact	5115144	01f4dfd39c9dcea8	61a83d9e32466dda	112928958	1
