id	width	height	rgba_sha256	output_sha256	output_bytes	project_status	project_kind	project_offset	project_context	dwebp_status	dwebp_error
clic-validation-000	1512	2016	1328ee7fdc61306d23d2269abfb3690e7f46045c384eea59b9e679a8ddb9ddf3	d3792fcf96f2c8e2869c92ebf668d9fe0aba8c8107bc5231e3c9d2ed356c2a83	8196184	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689029261457000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-001	2048	1152	eb9afc2e70f9a5bf7230b970974233437d8881f11bcfd9b109f9337d69fdec9a	f8bf60399e1fda52c5ff428538ef58931d91216959851fbda83de55431b6aed9	6591856	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689029508148000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-002	2048	1152	c65ec4a55be32d2f37cae5e8c20fc86492e7215a069c76035facd117243a41f5	6b49be38c76cd73d749c02b3ace073d5b046ebd06c483960e314fd052ddc440d	6836132	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689029735697000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-003	2048	1152	b0ffa389252b4dd41d67e440cf34e1bc880c57e42170c259c1d7b7a1ba33a7e2	b7a65d34c82494c2d03588e8cdf327e291bde75527ccc49a3aa5ecc80dbdf0aa	6725608	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689029962105000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-004	2048	1152	aa2121bc8f7e991ce78a7b159775937c67f6a9dd834d17d119db5dda472a5788	87dd4d188bf5d41de601e0618b1dab7b3607109533fc5f9dd134bee3bc0653a1	5940292	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689030221046000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-005	2048	1152	059e2de621deed14b7568efc066311509776206b8951629cea6add45e3a91683	4b11573b06dc1e35012af00a28ddb3ae98894a83916410ac78add705e4618794	5929020	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689030469347000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-006	2048	1152	e5f2eee1676fcc9e41e8d4bf06dcb400451dd48f52daf7e8bc6e7f201b7fb678	0a98c4489a6b5792c5cef886a9258c1e02cc8049426906c628d6a8b201a31a02	5931342	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689030721037000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-007	1512	2016	3f2baee4457cd550130f76d01955a3e2bc9513f7ced4454bcc0a35842537138e	1f8266f19d43a675aa0e682ace308a2f5c5fdf7da7e1e78d1701027ed704d85a	8390522	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689030993051000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-008	2016	980	a37239238b441bfdbb3d4a8e563d1bce4e1771678dca0508d8321981c3db0fe4	e104b414a09194dbf3faa77d623e27478cefa87e6c74542018c77319c2bc9be7	4821292	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689031227379000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-009	2016	980	4a0ae479e987965330a33022b1e17841dfba85ac1a141af6409a7db1ee04afd9	a5172d0770173c278cd56cccdd7a2917e2be897c7cce06b12fb59f61bf70a7ba	4585812	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689031439649000/input.webp failed. Status: 3(BITSTREAM_ERROR)
