id	layout	base_bytes	control_bytes	candidate_bytes	base_sha256	control_sha256	candidate_sha256	base_control_full_byte	base_candidate_full_byte	control_candidate_full_byte	base_project_exact	control_project_exact	candidate_project_exact
clic-validation-000	default	8196184	8196184	8196184	9c68ff67c15c5d3df7daece012d3e9f0b8d7fd5e10e74e291d3aab1eebe97d80	9c68ff67c15c5d3df7daece012d3e9f0b8d7fd5e10e74e291d3aab1eebe97d80	9c68ff67c15c5d3df7daece012d3e9f0b8d7fd5e10e74e291d3aab1eebe97d80	1	1	1	1	1	1
clic-validation-000	compact	8130642	8130642	7693316	18d9249d9db6e2a1a371e08b221e756eb18b5845eb53eeaf7c5c1d4fb8a89c21	18d9249d9db6e2a1a371e08b221e756eb18b5845eb53eeaf7c5c1d4fb8a89c21	af80db656b8b9ab39329de2ee47655988aa7d73ace7a67f853395b5b387a8aec	1	0	0	1	1	1
clic-validation-000	low-latency	8259942	8259942	8049220	ec6a63f4a1a983da016bde2d9bd2c33dd86b7f52260068ee315f40a39ecacb23	ec6a63f4a1a983da016bde2d9bd2c33dd86b7f52260068ee315f40a39ecacb23	a47f763adce07fb5b65ad777382ea6cace60614cec325962bd3ab422fa8bf40d	1	0	0	1	1	1
clic-validation-001	default	6591856	6591856	6591856	149edccd9f2cf96d52a7aae7c69e63d34fb41ccd303c79e5d83fe1ac4afad11d	149edccd9f2cf96d52a7aae7c69e63d34fb41ccd303c79e5d83fe1ac4afad11d	149edccd9f2cf96d52a7aae7c69e63d34fb41ccd303c79e5d83fe1ac4afad11d	1	1	1	1	1	1
clic-validation-001	compact	6257982	6257982	6124594	3c7505f77611d11a7e895e96a579dc06b60ae2624030a6aba0f177788d342193	3c7505f77611d11a7e895e96a579dc06b60ae2624030a6aba0f177788d342193	d597606874fc7da5a8c2d41710eab4ace13d0900d9b27cf891c849afc806185b	1	0	0	1	1	1
clic-validation-001	low-latency	6309214	6309214	6299146	c2090db3dd739e29001877c4a2e25d8ca52f9a9ee0a8160b5ef698cfa86898ee	c2090db3dd739e29001877c4a2e25d8ca52f9a9ee0a8160b5ef698cfa86898ee	709057d2c0da152b79696fbc0453a3f9a68e53f589580593d5af2f0798e915fa	1	0	0	1	1	1
clic-validation-002	default	6836132	6836132	6836132	1ebaae9d25de608411a3f2cb735254500ba316514d204b17a34294620265fb8a	1ebaae9d25de608411a3f2cb735254500ba316514d204b17a34294620265fb8a	1ebaae9d25de608411a3f2cb735254500ba316514d204b17a34294620265fb8a	1	1	1	1	1	1
clic-validation-002	compact	5799410	5799410	5885852	fdf1ededbf1cc3cc9876d7ef87745d966e3afa91b1755c8a5645d5ebcdbe579f	fdf1ededbf1cc3cc9876d7ef87745d966e3afa91b1755c8a5645d5ebcdbe579f	5ec58cf189ceb93d769d31d14df1b888face2b092fe44328d34b429097a0a9c2	1	0	0	1	1	1
clic-validation-002	low-latency	5942826	5942826	6018478	590e0a13213b6fcb65a9d9ef075979d8d15aac38443ec59b09811b22ff98749f	590e0a13213b6fcb65a9d9ef075979d8d15aac38443ec59b09811b22ff98749f	faa48163e1a9c446edc66864e1cba46cf6f6741ae0ea0f69bab91ed9af4a79be	1	0	0	1	1	1
clic-validation-003	default	6725608	6725608	6725608	75cf3e0429537f5bd6d3a5d86080259584ff58102ddc4b45ef4a582672ebadb9	75cf3e0429537f5bd6d3a5d86080259584ff58102ddc4b45ef4a582672ebadb9	75cf3e0429537f5bd6d3a5d86080259584ff58102ddc4b45ef4a582672ebadb9	1	1	1	1	1	1
clic-validation-003	compact	6050450	6050450	5946656	e10ea33e6002a5987ee71643069f4f86f3957c1267cd04e31fbaa0d12ee16dc0	e10ea33e6002a5987ee71643069f4f86f3957c1267cd04e31fbaa0d12ee16dc0	e49b68cfaf1ae5559157a366e0db585741bfb5deccde6c7a06998e21ce9f5b2e	1	0	0	1	1	1
clic-validation-003	low-latency	6126922	6126922	6121796	ff6b70383ee471761993421c3cbbf41b2afaa354f7929c91c2f4d3242c68c3cf	ff6b70383ee471761993421c3cbbf41b2afaa354f7929c91c2f4d3242c68c3cf	5db55ad4523d248db773808e428a6f7c44800be5d5e2538b52c344920883b2de	1	0	0	1	1	1
clic-validation-004	default	5940292	5940292	5940292	e90844c21caac5b0e72d950fff4ec0af46e28e3230f35d010594e5fe3401cf01	e90844c21caac5b0e72d950fff4ec0af46e28e3230f35d010594e5fe3401cf01	e90844c21caac5b0e72d950fff4ec0af46e28e3230f35d010594e5fe3401cf01	1	1	1	1	1	1
