
running 1 test
p15	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	reassignment_ns	rebuild_ns	refined_cost_ns	final_selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	e_groups	b_groups	refined_groups	retained_plan_bytes	initial	final	ordered_bytes	single_bytes	control_bytes	e_bits	e_payload_bytes	e_riff_bytes	b_bits	b_payload_bytes	b_riff_bytes	refined_bits	refined_payload_bytes	refined_riff_bytes	final_bytes	final_hash	public_exact
p15	clic-validation-000	compact	12192768	192	58042	8079834	12157110	402816	551375	226167	883583	879417	2648792	149083	951125	41	58786	58786	58786	37	40	40	518184	B	R	8130642	8493940	8130642	63558457	7944808	7944828	62968758	7871095	7871116	61546366	7693296	7693316	7693316	6fef3c2323be96e2	1
p15	clic-validation-000	low-latency	12192768	48	3083	7759292	12157110	201408	136958	69333	347084	364417	471292	34709	345792	0	19031	19031	19031	15	16	15	203648	E	R	8259942	8493940	8259942	64535336	8066917	8066938	64653597	8081700	8081720	64393593	8049200	8049220	8049220	291908ac87f11fe2	1
p15	clic-validation-001	compact	9437184	144	3959	5459292	9398430	302112	390667	135042	599167	508708	1455042	95750	575417	42	48562	48562	48562	26	24	26	336656	E	R	6257982	6492644	6257982	49954539	6244318	6244338	50061350	6257669	6257690	48996586	6124574	6124594	6124594	e4a776f3634e6f85	1
p15	clic-validation-001	low-latency	9437184	40	2709	5723916	9398430	167840	119083	46625	277083	265125	386042	34834	309375	41	16334	16334	16334	12	11	12	154960	E	R	6309214	6492644	6309214	50528909	6316114	6316134	50661167	6332646	6332666	50393004	6299126	6299146	6299146	1d253c5bc57c7f81	1
p15	clic-validation-002	compact	9437184	144	18292	5739792	9434830	302112	399250	130333	479542	424750	1095584	86958	478333	0	36936	36936	36936	22	21	22	287992	E	R	5799410	7003512	5799410	47427354	5928420	5928440	47752881	5969111	5969132	47086641	5885831	5885852	5885852	3b88c6c03cac89b9	1
p15	clic-validation-002	low-latency	9437184	40	2042	5581167	9434830	167840	113958	49459	298041	291959	334708	26125	265542	42	13272	13272	13272	13	13	13	172656	E	E	5942826	7003512	5942826	48147655	6018457	6018478	48655542	6081943	6081964	48147655	6018457	6018478	6018478	4c91febc7f31e56a	1
p15	clic-validation-003	compact	9437184	144	2625	5738083	9406614	302112	399916	135208	529375	583167	1424583	99583	609458	84	40364	40364	40364	24	26	26	336656	B	R	6050450	6632596	6050450	49003124	6125391	6125412	48781066	6097634	6097654	47573080	5946635	5946656	5946656	acfbf010dabd397a	1
p15	clic-validation-003	low-latency	9437184	40	3750	5640125	9406614	167840	114833	50000	278041	318917	344459	28000	339792	42	15022	15022	15022	12	14	14	177080	B	R	6126922	6632596	6126922	49657685	6207211	6207232	48993857	6124233	6124254	48974202	6121776	6121796	6121796	92e9bbb25e09a595	1
p15	clic-validation-004	compact	9437184	144	4334	5719250	9381628	302112	392042	123042	220375	148417	594958	78625	196625	0	20266	20266	20266	10	8	10	124304	E	R	5328258	6217656	5328258	42589665	5323709	5323730	42878744	5359843	5359864	41586481	5198311	5198332	5198332	4b1d4762577a5c62	1
p15	clic-validation-004	low-latency	9437184	40	2250	5611208	9381628	167840	112708	46792	137250	98916	180917	41166	137166	42	7808	7808	7808	6	5	6	75328	E	R	5437070	6217656	5437070	43589403	5448676	5448696	43884103	5485513	5485534	43355860	5419483	5419504	5419504	76ad8687a0439dbe	1
p15	clic-validation-005	compact	9437184	144	4583	5411292	8579154	302112	377750	119417	388750	268917	757708	101541	263041	42	31486	31486	31486	14	12	12	168544	B	R	5539552	5914660	5539552	44295107	5536889	5536910	44188331	5523542	5523562	42695949	5336994	5337014	5337014	d5407df88594a4b9	1
p15	clic-validation-005	low-latency	9437184	40	3458	5636084	8579154	167840	121750	51583	250667	196083	255125	30208	201625	42	11016	11016	11016	11	9	9	128416	B	R	5390698	5914660	5390698	43526167	5440771	5440792	43415608	5426951	5426972	42063369	5257922	5257942	5257942	e901da4385699dc1	1
p15	clic-validation-006	compact	9437184	144	4542	6949459	9089106	302112	404209	132625	470625	620750	837417	86875	402000	0	18836	18836	18836	20	24	24	301264	B	R	5188746	6064388	5188746	40934007	5116751	5116772	40511471	5063934	5063954	39789171	4973647	4973668	4973668	b185592ecb847cfb	1
p15	clic-validation-006	low-latency	9437184	40	3042	5636834	9089106	167840	123291	57542	250833	226917	266167	27834	231000	0	7232	7232	7232	13	13	13	172656	E	R	5209140	6064388	5209140	41345707	5168214	5168234	41934328	5241791	5241812	40995429	5124429	5124450	5124450	42f1cb68aa2e7395	1
p15	clic-validation-007	compact	12192768	192	4791	8183875	12119536	402816	583709	194250	832667	765791	2258000	125542	756291	84	64676	64676	64676	35	31	35	447400	E	R	7922454	8713390	7922454	64326374	8040797	8040818	64495788	8061974	8061994	62747543	7843443	7843464	7843464	a762148f2a392f32	1
p15	clic-validation-007	low-latency	12192768	48	2584	7498542	12119536	201408	139416	57083	325833	346833	397542	30875	326292	42	20225	20225	20225	13	15	13	181528	E	R	8112576	8713390	8112576	65337909	8167239	8167260	65415475	8176935	8176956	65217624	8152203	8152224	8152224	668170144e57e446	1
p15	clic-validation-008	compact	7902720	128	6500	4834000	7733230	268544	354333	105458	481000	304000	764208	75167	325209	83	28511	28511	28511	24	16	16	248128	B	R	4327522	5324192	4327522	36504742	4563093	4563114	35788865	4473609	4473630	34831390	4353924	4353944	4353944	71f4f8860124131c	1
p15	clic-validation-008	low-latency	7902720	32	2833	4737875	7733230	134272	92583	38958	297041	275333	230584	22500	217167	0	9437	9437	9437	11	12	11	150512	E	R	4391630	5324192	4391630	36910056	4613757	4613778	36912349	4614044	4614064	36657023	4582128	4582148	4582148	25a5e2711f680644	1
p15	clic-validation-009	compact	7902720	128	3625	5098500	7757136	268544	372667	124583	355000	313041	881666	113667	381583	0	39688	39688	39688	14	12	14	177344	E	R	5063414	5408128	5063414	41311648	5163956	5163976	41780950	5222619	5222640	39558748	4944844	4944864	4944864	ab3edbac97109399	1
p15	clic-validation-009	low-latency	7902720	32	2750	5074167	7757136	134272	94208	45500	192541	123375	236541	28583	169042	41	13625	13625	13625	7	5	7	84152	E	R	5114026	5408128	5114026	41307939	5163493	5163514	41747061	5218383	5218404	41058527	5132316	5132336	5132336	faa263e2dc796f89	1
p15	clic-validation-010	compact	6441528	108	3000	3973375	6426030	226584	337459	99916	361000	310375	866834	93875	307417	42	32537	32537	32537	13	14	13	177284	E	R	3997470	4753502	3997470	33129676	4141210	4141230	34033198	4254150	4254170	31635630	3954454	3954474	3954474	b2a924ad70cc87a8	1
p15	clic-validation-010	low-latency	6441528	30	1959	3877417	6426030	125880	97166	35833	224209	156875	256417	20375	204958	0	11177	11177	11177	9	7	9	110690	E	R	4032212	4753502	4032212	33644371	4205547	4205568	34404872	4300609	4300630	32732084	4091511	4091532	4091532	03b4d8b41eab58f0	1
p15	clic-validation-011	compact	3011904	48	1667	1853209	3010010	100704	136583	57000	386000	247750	430375	34458	351375	42	19369	19369	19369	16	11	16	190376	E	R	1961344	2089316	1961344	15955764	1994471	1994492	16051172	2006397	2006418	15879387	1984924	1984944	1984944	d044ff339962a25d	1
p15	clic-validation-011	low-latency	3011904	12	6542	1967792	3010010	50352	48917	17459	202458	123083	152000	13417	171958	42	6054	6054	6054	7	5	7	84092	E	E	2023660	2089316	2023660	16206366	2025796	2025816	16266428	2033304	2033324	16206366	2025796	2025816	2025816	ad71b82762fd8c0d	1
p15	clic-validation-012	compact	7990272	130	3417	4878833	7972174	272740	350416	112833	582458	527417	1303250	96166	572708	0	31604	31604	31604	32	30	32	416246	E	R	4891824	5484646	4891824	38892074	4861510	4861530	39187780	4898473	4898494	38382166	4797771	4797792	4797792	6c14fdf78db04253	1
p15	clic-validation-012	low-latency	7990272	35	2709	4931958	7972174	146860	97708	42792	332209	322416	357042	26542	351292	0	11212	11212	11212	16	16	16	212457	E	E	5008486	5484646	5008486	39558834	4944855	4944876	39910430	4988804	4988824	39558834	4944855	4944876	4944876	111d133a0b35cfc1	1
p15	clic-validation-013	compact	7990272	130	3209	4719709	7937916	272740	353542	123125	556083	472667	982083	85208	473709	42	40556	40556	40556	27	24	24	332190	B	R	5058144	5657146	5058144	41033937	5129243	5129264	40531908	5066489	5066510	40097783	5012223	5012244	5012244	5608c3101d30797c	1
p15	clic-validation-013	low-latency	7990272	35	2958	4887125	7937916	146860	108083	45250	372333	343709	380834	27209	387791	41	13869	13869	13869	16	16	16	212457	B	B	5153972	5657146	5153972	40758773	5094847	5094868	40609576	5076197	5076218	40609576	5076197	5076218	5076218	3b2891148953315a	1
p15	clic-validation-014	compact	7990272	130	4417	5180167	7923764	272740	389541	123167	692166	560667	1236625	86042	550666	0	47204	47204	47204	29	25	25	349886	B	R	5293592	5843580	5293592	43603004	5450376	5450396	43350894	5418862	5418882	42381689	5297712	5297732	5297732	39a8f3bb2b78ce29	1
