
running 1 test
stream	id	layout	bytes	rgba_hash	stream_hash	encode_ns	project_exact
stream	clic-validation-000	default	8196184	464ce5db301ecb19	a6d6a17c6675f6b6	129781709	1
stream	clic-validation-000	single	8493940	464ce5db301ecb19	5039d3875dbd350d	69852167	1
stream	clic-validation-000	compact	7693316	464ce5db301ecb19	6fef3c2323be96e2	65449084	1
stream	clic-validation-000	low-latency	8049220	464ce5db301ecb19	291908ac87f11fe2	57101667	1
stream	clic-validation-000	compact-control	8130642	464ce5db301ecb19	0f02a28355405c35	92869625	1
stream	clic-validation-000	low-latency-control	8259942	464ce5db301ecb19	205e5806964e04fc	93703542	1
stream	clic-validation-001	default	6591856	ac6ff401cad1e56a	68b56c067bc9991c	112556375	1
stream	clic-validation-001	single	6492644	ac6ff401cad1e56a	ccddbda4a25123e2	52112667	1
stream	clic-validation-001	compact	6124594	ac6ff401cad1e56a	e4a776f3634e6f85	49843167	1
stream	clic-validation-001	low-latency	6299146	ac6ff401cad1e56a	1d253c5bc57c7f81	42847542	1
stream	clic-validation-001	compact-control	6257982	ac6ff401cad1e56a	8cdded93ea38d0c4	67571583	1
stream	clic-validation-001	low-latency-control	6309214	ac6ff401cad1e56a	ba19efae1920b5b5	63903667	1
stream	clic-validation-002	default	6836132	53073efbc9fbc324	261ce55b789a8713	97612875	1
stream	clic-validation-002	single	7003512	53073efbc9fbc324	c89bf736feb661ec	51527708	1
stream	clic-validation-002	compact	5885852	53073efbc9fbc324	3b88c6c03cac89b9	44572666	1
stream	clic-validation-002	low-latency	6018478	53073efbc9fbc324	4c91febc7f31e56a	40801959	1
stream	clic-validation-002	compact-control	5799410	53073efbc9fbc324	44ed3741c525c80c	61604958	1
stream	clic-validation-002	low-latency-control	5942826	53073efbc9fbc324	af8571cc2446a9be	59676625	1
stream	clic-validation-003	default	6725608	2d0e74cba29a55a5	d2a1f30bece4c899	99639125	1
stream	clic-validation-003	single	6632596	2d0e74cba29a55a5	b3ff513e8d196139	53836750	1
stream	clic-validation-003	compact	5946656	2d0e74cba29a55a5	acfbf010dabd397a	46950583	1
stream	clic-validation-003	low-latency	6121796	2d0e74cba29a55a5	92e9bbb25e09a595	41438875	1
stream	clic-validation-003	compact-control	6050450	2d0e74cba29a55a5	e907a2e37937e785	64033917	1
stream	clic-validation-003	low-latency-control	6126922	2d0e74cba29a55a5	7d6a58d075d31a26	62916375	1
stream	clic-validation-004	default	5940292	4545a7582ba384f7	135de3a9848c7d1d	133824375	1
stream	clic-validation-004	single	6217656	4545a7582ba384f7	01bf0bc9a20a49c7	63203375	1
stream	clic-validation-004	compact	5198332	4545a7582ba384f7	4b1d4762577a5c62	62407667	1
stream	clic-validation-004	low-latency	5419504	4545a7582ba384f7	76ad8687a0439dbe	44426250	1
stream	clic-validation-004	compact-control	5328258	4545a7582ba384f7	06ddd8677593609e	114055542	1
stream	clic-validation-004	low-latency-control	5437070	4545a7582ba384f7	2dc381d95ce7a611	96471875	1
stream	clic-validation-005	default	5929020	d810c411c455be8c	a45b086411ebc930	212746709	1
stream	clic-validation-005	single	5914660	d810c411c455be8c	9e4e532e51bb2237	70450917	1
stream	clic-validation-005	compact	5337014	d810c411c455be8c	d5407df88594a4b9	66949500	1
stream	clic-validation-005	low-latency	5257942	d810c411c455be8c	e901da4385699dc1	58098125	1
stream	clic-validation-005	compact-control	5539552	d810c411c455be8c	38ab4fcd4b83074a	79673416	1
stream	clic-validation-005	low-latency-control	5390698	d810c411c455be8c	2221ba24f8b7e39a	68665500	1
stream	clic-validation-006	default	5931342	f1f4f6e7dfa0083f	7f40b5938c070999	137976458	1
stream	clic-validation-006	single	6064388	f1f4f6e7dfa0083f	60f8200f90969775	55804458	1
stream	clic-validation-006	compact	4973668	f1f4f6e7dfa0083f	b185592ecb847cfb	48974625	1
stream	clic-validation-006	low-latency	5124450	f1f4f6e7dfa0083f	42f1cb68aa2e7395	45923458	1
