
running 1 test
exact	id	profile	bytes	stream_hash	predicted_bits	written_bits	predicted_payload_bytes	predicted_riff_bytes	single_actual_riff_bytes	estimate_exact	losing_single_main_written	estimator_fallback	candidate_won	control_exact
exact	clic-validation-000	compact	8130642	0f02a28355405c35	67951357	67951357	8493920	8493940	8493940	1	0	0	1	1
exact	clic-validation-000	low-latency	8259942	205e5806964e04fc	67951357	67951357	8493920	8493940	8493940	1	0	0	1	1
exact	clic-validation-001	compact	6257982	8cdded93ea38d0c4	51940979	51940979	6492623	6492644	6492644	1	0	0	1	1
exact	clic-validation-001	low-latency	6309214	ba19efae1920b5b5	51940979	51940979	6492623	6492644	6492644	1	0	0	1	1
exact	clic-validation-002	compact	5799410	44ed3741c525c80c	56027933	56027933	7003492	7003512	7003512	1	0	0	1	1
exact	clic-validation-002	low-latency	5942826	af8571cc2446a9be	56027933	56027933	7003492	7003512	7003512	1	0	0	1	1
exact	clic-validation-003	compact	6050450	e907a2e37937e785	53060603	53060603	6632576	6632596	6632596	1	0	0	1	1
exact	clic-validation-003	low-latency	6126922	7d6a58d075d31a26	53060603	53060603	6632576	6632596	6632596	1	0	0	1	1
exact	clic-validation-004	compact	5328258	06ddd8677593609e	49741087	49741087	6217636	6217656	6217656	1	0	0	1	1
exact	clic-validation-004	low-latency	5437070	2dc381d95ce7a611	49741087	49741087	6217636	6217656	6217656	1	0	0	1	1
exact	clic-validation-005	compact	5539552	38ab4fcd4b83074a	47317118	47317118	5914640	5914660	5914660	1	0	0	1	1
exact	clic-validation-005	low-latency	5390698	2221ba24f8b7e39a	47317118	47317118	5914640	5914660	5914660	1	0	0	1	1
exact	clic-validation-006	compact	5188746	dc82c3867cd27ef5	48514941	48514941	6064368	6064388	6064388	1	0	0	1	1
exact	clic-validation-006	low-latency	5209140	09cead9651c5fb23	48514941	48514941	6064368	6064388	6064388	1	0	0	1	1
exact	clic-validation-007	compact	7922454	cab5aafc5dbe6bc5	69706953	69706953	8713370	8713390	8713390	1	0	0	1	1
exact	clic-validation-007	low-latency	8112576	4bc674812323efaf	69706953	69706953	8713370	8713390	8713390	1	0	0	1	1
exact	clic-validation-008	compact	4327522	41057fcac4692baf	42593367	42593367	5324171	5324192	5324192	1	0	0	1	1
exact	clic-validation-008	low-latency	4391630	9c8d110f84c6ab0f	42593367	42593367	5324171	5324192	5324192	1	0	0	1	1
exact	clic-validation-009	compact	5063414	5cec33e99360af39	43264853	43264853	5408107	5408128	5408128	1	0	0	1	1
exact	clic-validation-009	low-latency	5114026	cd11260673851ac2	43264853	43264853	5408107	5408128	5408128	1	0	0	1	1
exact	clic-validation-010	compact	3997470	e39fa39b81d063c4	38027856	38027856	4753482	4753502	4753502	1	0	0	1	1
exact	clic-validation-010	low-latency	4032212	b3f35799b19cb083	38027856	38027856	4753482	4753502	4753502	1	0	0	1	1
exact	clic-validation-011	compact	1961344	9e7fedd69fae81d4	16714353	16714353	2089295	2089316	2089316	1	0	0	1	1
exact	clic-validation-011	low-latency	2023660	0dee869344112095	16714353	16714353	2089295	2089316	2089316	1	0	0	1	1
exact	clic-validation-012	compact	4891824	c7ca321d2e5ff1ef	43876996	43876996	5484625	5484646	5484646	1	0	0	1	1
exact	clic-validation-012	low-latency	5008486	c8a6ca1f27fee40c	43876996	43876996	5484625	5484646	5484646	1	0	0	1	1
exact	clic-validation-013	compact	5058144	018d6fc3bf5a4998	45257000	45257000	5657125	5657146	5657146	1	0	0	1	1
exact	clic-validation-013	low-latency	5153972	d0fd577c198f05ca	45257000	45257000	5657125	5657146	5657146	1	0	0	1	1
exact	clic-validation-014	compact	5293592	6839d747d9b3ecd3	46748465	46748465	5843559	5843580	5843580	1	0	0	1	1
exact	clic-validation-014	low-latency	5386808	2f0e2ce078dfa0e0	46748465	46748465	5843559	5843580	5843580	1	0	0	1	1
exact	clic-validation-015	compact	5656200	e1e43c8a3678dc0d	46051172	46051172	5756397	5756418	5756418	1	0	0	1	1
exact	clic-validation-015	low-latency	5684412	e4114154d23303f0	46051172	46051172	5756397	5756418	5756418	1	0	0	1	1
exact	clic-validation-016	compact	4555750	d74e0485d62c6a97	45752789	45752789	5719099	5719120	5719120	1	0	0	1	1
exact	clic-validation-016	low-latency	4701704	709af32520817fe5	45752789	45752789	5719099	5719120	5719120	1	0	0	1	1
exact	clic-validation-017	compact	6691500	ec0a33bc3dd53d6d	59651989	59651989	7456499	7456520	7456520	1	0	0	1	1
exact	clic-validation-017	low-latency	6719656	00d466397d9cf7a6	59651989	59651989	7456499	7456520	7456520	1	0	0	1	1
exact	clic-validation-018	compact	5115144	61a83d9e32466dda	43693149	43693149	5461644	5461664	5461664	1	0	0	1	1
exact	clic-validation-018	low-latency	5118420	eb054bdbdfb3c853	43693149	43693149	5461644	5461664	5461664	1	0	0	1	1
exact	clic-validation-019	compact	5039696	b07bddc8d312f434	46253004	46253004	5781626	5781646	5781646	1	0	0	1	1
exact	clic-validation-019	low-latency	5108948	fc80d328d4116136	46253004	46253004	5781626	5781646	5781646	1	0	0	1	1
exact	clic-validation-020	compact	6358216	466e96893e179b35	54620277	54620277	6827535	6827556	6827556	1	0	0	1	1
exact	clic-validation-020	low-latency	6430820	a70878ccda5dadb3	54620277	54620277	6827535	6827556	6827556	1	0	0	1	1
exact	clic-validation-021	compact	4565070	e6ea7751bb0fa96c	42712311	42712311	5339039	5339060	5339060	1	0	0	1	1
exact	clic-validation-021	low-latency	4693378	eeacf5658ce6dae5	42712311	42712311	5339039	5339060	5339060	1	0	0	1	1
exact	clic-validation-022	compact	5628196	52980d6296da50c6	51324260	51324260	6415533	6415554	6415554	1	0	0	1	1
exact	clic-validation-022	low-latency	5628318	f1df5dd2f587a11e	51324260	51324260	6415533	6415554	6415554	1	0	0	1	1
exact	clic-validation-023	compact	5856188	14a3cbdb5772f655	54121059	54121059	6765133	6765154	6765154	1	0	0	1	1
exact	clic-validation-023	low-latency	5979252	86417f977d44787c	54121059	54121059	6765133	6765154	6765154	1	0	0	1	1
exact	clic-validation-024	compact	7349344	fabb08f2175b9ae9	62430655	62430655	7803832	7803852	7803852	1	0	0	1	1
exact	clic-validation-024	low-latency	7363364	382bb2aa62af6523	62430655	62430655	7803832	7803852	7803852	1	0	0	1	1
exact	clic-validation-025	compact	7869586	8e2bafa718f19a77	70030464	70030464	8753808	8753828	8753828	1	0	0	1	1
exact	clic-validation-025	low-latency	8063140	7e0fa761ed6d5c04	70030464	70030464	8753808	8753828	8753828	1	0	0	1	1
exact	clic-validation-026	compact	8259084	f45a79434b11b0a8	71561818	71561818	8945228	8945248	8945248	1	0	0	1	1
exact	clic-validation-026	low-latency	8349358	10688eb18b045ed4	71561818	71561818	8945228	8945248	8945248	1	0	0	1	1
