
running 1 test
stream	id	layout	bytes	rgba_hash	stream_hash	encode_ns	project_exact
stream	clic-validation-000	compact-ordered-product-control	8130642	464ce5db301ecb19	0f02a28355405c35	103336250	1
stream	clic-validation-000	compact-frequency-owned	7944828	464ce5db301ecb19	98777c21f844d9d6	60469833	1
stream	clic-validation-000	low-latency-ordered-product-control	8259942	464ce5db301ecb19	205e5806964e04fc	96386500	1
stream	clic-validation-000	low-latency-frequency-owned	8066938	464ce5db301ecb19	33f54540980d7b4b	57024042	1
stream	clic-validation-001	compact-ordered-product-control	6257982	ac6ff401cad1e56a	8cdded93ea38d0c4	74691750	1
stream	clic-validation-001	compact-frequency-owned	6244338	ac6ff401cad1e56a	e21507b6d9666a10	46439541	1
stream	clic-validation-001	low-latency-ordered-product-control	6309214	ac6ff401cad1e56a	ba19efae1920b5b5	73702958	1
stream	clic-validation-001	low-latency-frequency-owned	6316134	ac6ff401cad1e56a	4e36ea9a8d6679fd	43670500	1
stream	clic-validation-002	compact-ordered-product-control	5799410	53073efbc9fbc324	44ed3741c525c80c	70192500	1
stream	clic-validation-002	compact-frequency-owned	5928440	53073efbc9fbc324	12772cb7e6720f81	42809666	1
stream	clic-validation-002	low-latency-ordered-product-control	5942826	53073efbc9fbc324	af8571cc2446a9be	69847250	1
stream	clic-validation-002	low-latency-frequency-owned	6018478	53073efbc9fbc324	4c91febc7f31e56a	41850708	1
stream	clic-validation-003	compact-ordered-product-control	6050450	2d0e74cba29a55a5	e907a2e37937e785	71777000	1
stream	clic-validation-003	compact-frequency-owned	6125412	2d0e74cba29a55a5	0e4dc3668345c12b	44400375	1
stream	clic-validation-003	low-latency-ordered-product-control	6126922	2d0e74cba29a55a5	7d6a58d075d31a26	70108625	1
stream	clic-validation-003	low-latency-frequency-owned	6207232	2d0e74cba29a55a5	b5a7d5e8c73d7f63	42841083	1
stream	clic-validation-004	compact-ordered-product-control	5328258	4545a7582ba384f7	06ddd8677593609e	77692750	1
stream	clic-validation-004	compact-frequency-owned	5323730	4545a7582ba384f7	b08b70f0027faf55	43809542	1
stream	clic-validation-004	low-latency-ordered-product-control	5437070	4545a7582ba384f7	2dc381d95ce7a611	77522083	1
stream	clic-validation-004	low-latency-frequency-owned	5448696	4545a7582ba384f7	155bc1733be9123a	42240208	1
stream	clic-validation-005	compact-ordered-product-control	5539552	d810c411c455be8c	38ab4fcd4b83074a	73071334	1
stream	clic-validation-005	compact-frequency-owned	5536910	d810c411c455be8c	3dbce3016f438a1f	45102459	1
stream	clic-validation-005	low-latency-ordered-product-control	5390698	d810c411c455be8c	2221ba24f8b7e39a	71530500	1
stream	clic-validation-005	low-latency-frequency-owned	5440792	d810c411c455be8c	eab8befaffb4ae43	43751333	1
stream	clic-validation-006	compact-ordered-product-control	5188746	f1f4f6e7dfa0083f	dc82c3867cd27ef5	78529167	1
stream	clic-validation-006	compact-frequency-owned	5116772	f1f4f6e7dfa0083f	61112b9f235d97b0	45444042	1
stream	clic-validation-006	low-latency-ordered-product-control	5209140	f1f4f6e7dfa0083f	09cead9651c5fb23	75560875	1
