
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	signature_differences	assignment_differences	ordered_groups	exact_groups	ordered_candidate_bytes	exact_candidate_bytes	candidate_byte_delta	ordered_product_bytes	exact_product_bytes	product_byte_delta	ordered_candidate_ns	exact_candidate_ns	ordered_product_ns	exact_product_ns	ordered_plan_ns	initialization_ns	update_ns	signature_cluster_ns	merge_ns	update_count	merge_updates	storage_bytes
phase_a	clic-validation-000	compact	1512	2016	3048192	3040912	3037643	3269	0	192	127	146	41	37	8130642	7944828	-185814	8130642	7944828	-185814	78790542	40327084	100288292	58579791	38309458	35625	8373541	411292	137041	12157110	58786	402816
phase_a	clic-validation-000	low-latency	1512	2016	3048192	3040912	3037643	3269	0	48	37	37	16	15	8259942	8066938	-193004	8259942	8066938	-193004	76425042	37140166	96015209	56013625	37507042	14750	8466958	107333	38417	12157110	19031	201408
phase_a	clic-validation-001	compact	2048	1152	2359296	2351181	2348034	3147	0	144	104	119	37	26	6257982	6244338	-13644	6257982	6244338	-13644	59792125	30931959	73171875	44674666	27553333	41500	6609209	308917	111625	9398430	48562	302112
phase_a	clic-validation-001	low-latency	2048	1152	2359296	2351181	2348034	3147	0	40	32	32	16	12	6309214	6316134	6920	6309214	6316134	6920	57853125	28206792	71136208	41439000	27781208	1750	6449041	80125	26916	9398430	16334	167840
phase_a	clic-validation-002	compact	2048	1152	2359296	2358816	2358599	217	0	144	77	106	30	22	5799410	5928440	129030	5799410	5928440	129030	54884958	28712084	68645417	41476041	24158500	2792	6363083	284125	109459	9434830	36936	302112
phase_a	clic-validation-002	low-latency	2048	1152	2359296	2358816	2358599	217	0	40	28	30	12	13	5942826	6018478	75652	5942826	6018478	75652	54017709	27250875	67921667	40932959	23985959	1708	6432291	92958	36000	9434830	13272	167840
phase_a	clic-validation-003	compact	2048	1152	2359296	2352445	2350862	1583	0	144	104	127	34	24	6050450	6125412	74962	6050450	6125412	74962	57243917	32159542	70444000	43933375	25133625	3042	6395500	298625	89916	9406614	40364	302112
phase_a	clic-validation-003	low-latency	2048	1152	2359296	2352445	2350862	1583	0	40	32	31	16	12	6126922	6207232	80310	6126922	6207232	80310	55384375	28641375	68463375	41176875	25152083	1625	6234625	79667	27958	9406614	15022	167840
phase_a	clic-validation-004	compact	2048	1152	2359296	2347806	2343008	4798	0	144	47	76	15	10	5328258	5323730	-4528	5328258	5323730	-4528	60356292	26770750	74952041	40888250	31167625	2750	6325792	278208	80000	9381628	20266	302112
phase_a	clic-validation-004	low-latency	2048	1152	2359296	2347806	2343008	4798	0	40	19	26	9	6	5437070	5448696	11626	5437070	5448696	11626	60752750	26470292	76182583	41205833	30942209	1708	6258458	78417	30917	9381628	7808	167840
phase_a	clic-validation-005	compact	2048	1152	2359296	2164453	2125124	39329	0	144	68	81	23	14	5539552	5536910	-2642	5539552	5536910	-2642	55694541	28353292	71151334	44544000	26547042	2875	6319791	280875	94208	8579154	31486	302112
phase_a	clic-validation-005	low-latency	2048	1152	2359296	2164453	2125124	39329	0	40	22	38	13	11	5390698	5440792	50094	5390698	5440792	50094	54884458	27326083	69704833	42821292	26364875	1541	6253542	92208	28500	8579154	11016	167840
phase_a	clic-validation-006	compact	2048	1152	2359296	2284049	2260504	23545	0	144	74	114	25	20	5188746	5116772	-71974	5188746	5116772	-71974	62017667	28969000	77561209	44126250	32443250	20584	6441709	291250	83084	9089106	18836	302112
phase_a	clic-validation-006	low-latency	2048	1152	2359296	2284049	2260504	23545	0	40	25	32	16	13	5209140	5168234	-40906	5209140	5168234	-40906	61087167	27779583	76461750	42790209	32298667	1500	6328208	87833	26666	9089106	7232	167840
phase_a	clic-validation-007	compact	1512	2016	3048192	3032461	3027307	5154	0	192	132	182	49	35	7922454	8040818	118364	7922454	8040818	118364	77891917	40357792	95925958	58527125	36656458	3625	8477834	397500	119459	12119536	64676	402816
phase_a	clic-validation-007	low-latency	1512	2016	3048192	3032461	3027307	5154	0	48	36	44	16	13	8112576	8167260	54684	8112576	8167260	54684	75786792	36841084	93476416	54970542	36369834	2125	8652917	96500	31667	12119536	20225	201408
phase_a	clic-validation-008	compact	2016	980	1975680	1940261	1926354	13907	0	128	79	120	25	24	4327522	4563114	235592	4327522	4563114	235592	47160000	25687583	58849833	38572125	21671584	2541	5406542	261166	86500	7733230	28511	268544
phase_a	clic-validation-008	low-latency	2016	980	1975680	1940261	1926354	13907	0	32	24	31	16	11	4391630	4613778	222148	4391630	4613778	222148	45811959	23764834	58684708	36376375	21338250	1084	5395917	70375	25958	7733230	9437	134272
phase_a	clic-validation-009	compact	2016	980	1975680	1944569	1933999	10570	0	128	72	97	26	14	5063414	5163976	100562	5063414	5163976	100562	46107459	24489542	59151583	37219917	20445916	2292	5451250	255667	83666	7757136	39688	268544
phase_a	clic-validation-009	low-latency	2016	980	1975680	1944569	1933999	10570	0	32	19	31	11	7	5114026	5163514	49488	5114026	5163514	49488	45236875	23159958	57818917	36176250	20240625	1250	5358500	63375	28083	7757136	13625	134272
phase_a	clic-validation-010	compact	1434	1123	1610382	1607187	1605828	1359	0	108	88	106	28	13	3997470	4141230	143760	3997470	4141230	143760	42114917	20863958	51749041	29762875	20232375	2083	4415708	235166	66167	6426030	32537	226584
phase_a	clic-validation-010	low-latency	1434	1123	1610382	1607187	1605828	1359	0	30	21	30	16	9	4032212	4205568	173356	4032212	4205568	173356	40996750	19782292	50695250	28890792	20937917	1709	4443916	59167	21083	6426030	11177	125880
phase_a	clic-validation-011	compact	996	756	752976	752571	752434	137	0	48	37	46	24	16	1961344	1994492	33148	1961344	1994492	33148	18429792	10127958	22877250	14447250	8008500	792	2016166	95000	34417	3010010	19369	100704
phase_a	clic-validation-011	low-latency	996	756	752976	752571	752434	137	0	12	8	9	8	7	2023660	2025816	2156	2023660	2025816	2156	17741875	9032166	21845083	13317625	8025542	500	2042792	24000	13916	3010010	6054	50352
