
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	signature_differences	assignment_differences	ordered_groups	exact_groups	ordered_candidate_bytes	exact_candidate_bytes	candidate_byte_delta	ordered_product_bytes	exact_product_bytes	product_byte_delta	ordered_candidate_ns	exact_candidate_ns	ordered_product_ns	exact_product_ns	ordered_plan_ns	initialization_ns	update_ns	signature_cluster_ns	merge_ns	update_count	merge_updates	storage_bytes
phase_a	clic-validation-000	compact	1512	2016	3048192	3040912	3037643	3269	0	192	127	146	41	37	8130642	7944828	-185814	8130642	7944828	-185814	79244250	40310292	101346166	58669542	38145542	31750	8487292	399250	147375	12157110	58786	402816
phase_a	clic-validation-000	low-latency	1512	2016	3048192	3040912	3037643	3269	0	48	37	37	16	15	8259942	8066938	-193004	8259942	8066938	-193004	76538708	37123667	95938542	55688125	37540666	2917	8329792	101583	34500	12157110	19031	201408
phase_a	clic-validation-001	compact	2048	1152	2359296	2351181	2348034	3147	0	144	104	119	37	26	6257982	6244338	-13644	6257982	6244338	-13644	58720167	30884833	72925042	44611667	27540250	3125	6482917	295334	95209	9398430	48562	302112
phase_a	clic-validation-001	low-latency	2048	1152	2359296	2351181	2348034	3147	0	40	32	32	16	12	6309214	6316134	6920	6309214	6316134	6920	57573042	28105084	71370959	42130041	27418584	1625	6817500	95000	33250	9398430	16334	167840
phase_a	clic-validation-002	compact	2048	1152	2359296	2358816	2358599	217	0	144	77	106	30	22	5799410	5928440	129030	5799410	5928440	129030	54726250	28303250	68288625	41677083	24121042	3125	6489459	285750	95583	9434830	36936	302112
phase_a	clic-validation-002	low-latency	2048	1152	2359296	2358816	2358599	217	0	40	28	30	12	13	5942826	6018478	75652	5942826	6018478	75652	54036167	27537916	67358958	40898834	24019333	26917	6504375	89042	37416	9434830	13272	167840
phase_a	clic-validation-003	compact	2048	1152	2359296	2352445	2350862	1583	0	144	104	127	34	24	6050450	6125412	74962	6050450	6125412	74962	56468125	30115333	70010958	43673208	25262792	2708	6337500	301250	101417	9406614	40364	302112
phase_a	clic-validation-003	low-latency	2048	1152	2359296	2352445	2350862	1583	0	40	32	31	16	12	6126922	6207232	80310	6126922	6207232	80310	55005834	28495416	68972208	42210750	24934000	1583	6336333	80250	27500	9406614	15022	167840
phase_a	clic-validation-004	compact	2048	1152	2359296	2347806	2343008	4798	0	144	47	76	15	10	5328258	5323730	-4528	5328258	5323730	-4528	61856625	27402708	76459083	41909542	32087250	2750	6523500	310042	85417	9381628	20266	302112
phase_a	clic-validation-004	low-latency	2048	1152	2359296	2347806	2343008	4798	0	40	19	26	9	6	5437070	5448696	11626	5437070	5448696	11626	60838709	26669666	75124500	40620667	31606125	1958	6426459	89500	32500	9381628	7808	167840
phase_a	clic-validation-005	compact	2048	1152	2359296	2164453	2125124	39329	0	144	68	81	23	14	5539552	5536910	-2642	5539552	5536910	-2642	55535125	28801667	71158125	43980833	26729667	2833	6228292	308541	91917	8579154	31486	302112
phase_a	clic-validation-005	low-latency	2048	1152	2359296	2164453	2125124	39329	0	40	22	38	13	11	5390698	5440792	50094	5390698	5440792	50094	54448458	27377500	69886750	43053375	26588250	2208	6194417	81750	28708	8579154	11016	167840
phase_a	clic-validation-006	compact	2048	1152	2359296	2284049	2260504	23545	0	144	74	114	25	20	5188746	5116772	-71974	5188746	5116772	-71974	62560917	29351583	77371666	44495042	33220666	3083	6712417	294541	80750	9089106	18836	302112
phase_a	clic-validation-006	low-latency	2048	1152	2359296	2284049	2260504	23545	0	40	25	32	16	13	5209140	5168234	-40906	5209140	5168234	-40906	61144541	27928875	76439541	43308709	32460958	1583	6400291	84125	26875	9089106	7232	167840
phase_a	clic-validation-007	compact	1512	2016	3048192	3032461	3027307	5154	0	192	132	182	49	35	7922454	8040818	118364	7922454	8040818	118364	77072333	40722167	95637791	58579542	36598084	29291	8286667	390791	130458	12119536	64676	402816
phase_a	clic-validation-007	low-latency	1512	2016	3048192	3032461	3027307	5154	0	48	36	44	16	13	8112576	8167260	54684	8112576	8167260	54684	75509250	36800250	93573792	55324458	36653041	1875	8381958	96750	31458	12119536	20225	201408
