
running 1 test
phase_b	id	profile	width	height	pixels	blocks	ordered_exact_signature_differences	ordered_coarse_signature_differences	exact_coarse_signature_differences	ordered_exact_assignment_differences	ordered_coarse_assignment_differences	exact_coarse_assignment_differences	ordered_groups	exact_groups	coarse_groups	ordered_product_bytes	exact_product_bytes	coarse_product_bytes	exact_byte_delta	coarse_byte_delta	exact_derivation_ns	coarse_derivation_ns	exact_signature_cluster_ns	coarse_signature_cluster_ns
phase_b	clic-validation-000	compact	1512	2016	3048192	192	127	134	66	146	148	115	41	37	40	8130642	7944828	7871116	-185814	-259526	378083	43917	416417	75208
phase_b	clic-validation-000	low-latency	1512	2016	3048192	48	37	39	16	37	38	29	16	15	16	8259942	8066938	8081720	-193004	-178222	90833	24083	96583	28417
phase_b	clic-validation-001	compact	2048	1152	2359296	144	104	103	50	119	108	112	37	26	24	6257982	6244338	6257690	-13644	-292	284250	29250	302584	43583
phase_b	clic-validation-001	low-latency	2048	1152	2359296	40	32	33	20	32	38	30	16	12	11	6309214	6316134	6332666	6920	23452	79584	21375	88500	31750
phase_b	clic-validation-002	compact	2048	1152	2359296	144	77	80	28	106	113	36	30	22	21	5799410	5928440	5969132	129030	169722	283292	29375	298458	41291
phase_b	clic-validation-002	low-latency	2048	1152	2359296	40	28	25	17	30	32	30	12	13	13	5942826	6018478	6081964	75652	139138	79000	21125	84167	24458
phase_b	clic-validation-003	compact	2048	1152	2359296	144	104	101	46	127	129	93	34	24	26	6050450	6125412	6097654	74962	47204	286583	29583	301750	45292
phase_b	clic-validation-003	low-latency	2048	1152	2359296	40	32	33	9	31	34	26	16	12	14	6126922	6207232	6124254	80310	-2668	80000	21166	93166	24750
phase_b	clic-validation-004	compact	2048	1152	2359296	144	47	44	12	76	47	58	15	10	8	5328258	5323730	5359864	-4528	31606	303625	30542	300792	35792
phase_b	clic-validation-004	low-latency	2048	1152	2359296	40	19	16	8	26	26	25	9	6	5	5437070	5448696	5485534	11626	48464	81958	21833	85917	23584
phase_b	clic-validation-005	compact	2048	1152	2359296	144	68	80	43	81	104	110	23	14	12	5539552	5536910	5523562	-2642	-15990	274542	31959	299250	40750
phase_b	clic-validation-005	low-latency	2048	1152	2359296	40	22	28	14	38	36	36	13	11	9	5390698	5440792	5426972	50094	36274	75709	20166	89250	23084
phase_b	clic-validation-006	compact	2048	1152	2359296	144	74	67	31	114	104	103	25	20	24	5188746	5116772	5063954	-71974	-124792	283458	29333	297625	47459
phase_b	clic-validation-006	low-latency	2048	1152	2359296	40	25	26	9	32	34	31	16	13	13	5209140	5168234	5241812	-40906	32672	84250	21792	90333	24875
phase_b	clic-validation-007	compact	1512	2016	3048192	192	132	142	61	182	190	120	49	35	31	7922454	8040818	8061994	118364	139540	400959	43667	445334	65458
phase_b	clic-validation-007	low-latency	1512	2016	3048192	48	36	37	13	44	45	18	16	13	15	8112576	8167260	8176956	54684	64380	98541	26042	104958	30166
phase_b	clic-validation-008	compact	2016	980	1975680	128	79	74	34	120	113	102	25	24	16	4327522	4563114	4473630	235592	146108	256792	34541	275584	36917
phase_b	clic-validation-008	low-latency	2016	980	1975680	32	24	24	8	31	29	17	16	11	12	4391630	4613778	4614064	222148	222434	63208	17000	67625	20125
phase_b	clic-validation-009	compact	2016	980	1975680	128	72	76	27	97	99	30	26	14	12	5063414	5163976	5222640	100562	159226	260125	27333	262167	36458
phase_b	clic-validation-009	low-latency	2016	980	1975680	32	19	19	12	31	26	32	11	7	5	5114026	5163514	5218404	49488	104378	63250	17167	69667	18916
phase_b	clic-validation-010	compact	1434	1123	1610382	108	88	84	41	106	105	63	28	13	14	3997470	4141230	4254170	143760	256700	212209	22167	225208	29208
phase_b	clic-validation-010	low-latency	1434	1123	1610382	30	21	24	18	30	23	30	16	9	7	4032212	4205568	4300630	173356	268418	59250	15875	62250	17917
phase_b	clic-validation-011	compact	996	756	752976	48	37	38	17	46	47	32	24	16	11	1961344	1994492	2006418	33148	45074	94292	10125	98917	18875
phase_b	clic-validation-011	low-latency	996	756	752976	12	8	11	9	9	11	12	8	7	5	2023660	2025816	2033324	2156	9664	23667	6375	25167	7292
phase_b	clic-validation-012	compact	1632	1224	1997568	130	84	82	32	116	119	116	30	32	30	4891824	4861530	4898494	-30294	6670	255542	26458	274417	42042
phase_b	clic-validation-012	low-latency	1632	1224	1997568	35	23	24	15	31	33	35	16	16	16	5008486	4944876	4988824	-63610	-19662	69583	18375	74458	21917
phase_b	clic-validation-013	compact	1632	1224	1997568	130	96	100	54	111	128	128	37	27	24	5058144	5129264	5066510	71120	8366	255167	26375	277125	39542
phase_b	clic-validation-013	low-latency	1632	1224	1997568	35	32	25	20	33	26	28	16	16	16	5153972	5094868	5076218	-59104	-77754	69333	18708	75000	21666
phase_b	clic-validation-014	compact	1632	1224	1997568	130	87	93	49	113	108	122	48	29	25	5293592	5450396	5418882	156804	125290	255250	26458	284250	40209
phase_b	clic-validation-014	low-latency	1632	1224	1997568	35	29	29	16	32	31	32	16	15	13	5386808	5413832	5501476	27024	114668	72250	18500	78666	21625
phase_b	clic-validation-015	compact	1632	1224	1997568	130	106	90	64	112	89	79	32	18	15	5656200	5703850	5706364	47650	50164	247625	25542	256208	34584
phase_b	clic-validation-015	low-latency	1632	1224	1997568	35	26	24	18	24	22	16	15	9	5	5684412	5711100	5737356	26688	52944	70167	18041	77125	23333
phase_b	clic-validation-016	compact	1632	1224	1997568	130	83	75	44	98	86	78	27	22	19	4555750	4600084	4601414	44334	45664	290792	25583	271542	40708
phase_b	clic-validation-016	low-latency	1632	1224	1997568	35	28	27	19	22	27	27	16	14	11	4701704	4753110	4759326	51406	57622	69292	18625	79834	25333
phase_b	clic-validation-017	compact	1512	2016	3048192	192	114	114	42	117	167	153	26	20	17	6691500	6840198	6873894	148698	182394	361250	37333	379584	50625
phase_b	clic-validation-017	low-latency	1512	2016	3048192	48	30	31	16	31	43	42	15	14	11	6719656	6845600	6867728	125944	148072	90917	24125	100958	27416
phase_b	clic-validation-018	compact	1224	1632	1997568	130	87	85	43	101	96	70	25	18	13	5115144	5000332	5083908	-114812	-31236	246916	28458	259291	34000
phase_b	clic-validation-018	low-latency	1224	1632	1997568	35	30	26	13	30	28	27	14	11	9	5118420	5034674	5090770	-83746	-27650	80333	22750	70625	20250
phase_b	clic-validation-019	compact	1632	1224	1997568	130	87	83	39	115	109	90	39	26	28	5039696	5087052	5079850	47356	40154	247917	25333	263500	39209
phase_b	clic-validation-019	low-latency	1632	1224	1997568	35	29	29	11	32	28	25	16	16	13	5108948	5107722	5028620	-1226	-80328	69084	18500	89208	21834
phase_b	clic-validation-020	compact	2048	1153	2361344	160	117	112	52	142	141	134	41	30	24	6358216	6332178	6373942	-26038	15726	301708	31292	321958	46667
phase_b	clic-validation-020	low-latency	2048	1153	2361344	40	32	30	8	33	36	39	16	13	10	6430820	6393320	6505300	-37500	74480	75750	20208	80834	23209
phase_b	clic-validation-021	compact	1616	1212	1958592	130	75	79	38	98	108	75	29	22	21	4565070	4742786	4720368	177716	155298	259667	26291	270375	37625
phase_b	clic-validation-021	low-latency	1616	1212	1958592	35	19	23	12	34	34	19	16	13	13	4693378	4818636	4797148	125258	103770	66375	17791	70500	20500
phase_b	clic-validation-022	compact	1153	2048	2361344	160	77	76	30	82	124	125	20	23	18	5628196	5588206	5663352	-39990	35156	301500	31417	317292	43250
phase_b	clic-validation-022	low-latency	1153	2048	2361344	40	26	23	10	31	34	14	13	13	10	5628318	5598040	5783948	-30278	155630	78750	21125	83542	23958
phase_b	clic-validation-023	compact	2048	1153	2361344	160	112	111	41	151	155	117	39	36	32	5856188	5789544	5765296	-66644	-90892	301583	31833	334458	51125
phase_b	clic-validation-023	low-latency	2048	1153	2361344	40	32	30	16	37	35	34	16	16	16	5979252	5834050	5768684	-145202	-210568	75834	20167	95875	23833
phase_b	clic-validation-024	compact	1512	2016	3048192	192	109	109	37	143	145	101	33	25	27	7349344	7362308	7373846	12964	24502	384125	39083	404417	61916
phase_b	clic-validation-024	low-latency	1512	2016	3048192	48	37	36	12	35	33	23	16	16	14	7363364	7434726	7504916	71362	141552	91250	24250	111292	27834
phase_b	clic-validation-025	compact	2016	1512	3048192	192	138	128	64	173	165	104	40	24	27	7869586	7972088	8001788	102502	132202	363125	37792	387709	56750
phase_b	clic-validation-025	low-latency	2016	1512	3048192	48	39	35	21	46	42	42	16	16	12	8063140	7956848	8159202	-106292	96062	91333	24041	97125	27625
phase_b	clic-validation-026	compact	1520	2048	3112960	192	143	139	60	171	178	136	37	26	24	8259084	8240330	8188514	-18754	-70570	361708	37167	386292	55250
phase_b	clic-validation-026	low-latency	1520	2048	3112960	48	34	34	19	41	44	40	16	15	14	8349358	8267712	8351616	-81646	2258	95667	31792	105250	28292
phase_b	clic-validation-027	compact	1496	2000	2992000	192	88	86	24	97	153	148	20	15	15	6933844	7028920	7026262	95076	92418	399375	37333	399417	47959
phase_b	clic-validation-027	low-latency	1496	2000	2992000	48	26	25	5	35	35	7	10	7	8	7076126	7135708	7109948	59582	33822	94875	25417	99583	27750
phase_b	clic-validation-028	compact	2000	1496	2992000	192	58	60	15	79	82	17	16	14	16	7265392	7350296	7243452	84904	-21940	361667	37416	374750	48833
phase_b	clic-validation-028	low-latency	2000	1496	2992000	48	20	21	3	23	25	4	6	6	6	7360348	7338048	7315328	-22300	-45020	95125	24000	98459	25833
phase_b	clic-validation-029	compact	1512	2016	3048192	192	112	107	47	166	162	149	24	20	18	6107890	6051300	6038956	-56590	-68934	364292	37292	400250	58500
phase_b	clic-validation-029	low-latency	1512	2016	3048192	48	30	36	13	41	38	33	16	10	12	6030840	6260622	6217394	229782	186554	90583	24125	95959	28125
phase_b	clic-validation-030	compact	2000	1496	2992000	192	132	129	55	147	137	107	51	29	22	8257108	8343220	8319202	86112	62094	379500	40125	391833	56833
phase_b	clic-validation-030	low-latency	2000	1496	2992000	48	34	32	19	34	33	25	16	16	13	8705786	8571114	8603538	-134672	-102248	91334	24291	97792	31792
phase_b	clic-validation-031	compact	1512	2016	3048192	192	117	111	56	139	145	143	30	27	22	7174330	7252626	7261384	78296	87054	377167	39083	401250	56625
phase_b	clic-validation-031	low-latency	1512	2016	3048192	48	37	40	16	47	39	46	16	16	13	7277258	7252942	7256042	-24316	-21216	90959	24208	107875	28250
phase_b	clic-validation-032	compact	2016	1512	3048192	192	89	81	28	110	91	74	13	13	10	6915788	6892440	6904172	-23348	-11616	365542	37375	374708	45458
phase_b	clic-validation-032	low-latency	2016	1512	3048192	48	26	25	9	27	24	13	9	7	9	6987574	6909344	7074418	-78230	86844	91167	24292	96000	26458
phase_b	clic-validation-033	compact	2016	1512	3048192	192	112	113	46	154	124	141	39	24	20	8462362	8163720	8617556	-298642	155194	366000	37333	397167	52292
phase_b	clic-validation-033	low-latency	2016	1512	3048192	48	37	37	17	38	39	36	16	14	14	8431672	8502288	8518786	70616	87114	102125	27209	106417	35666
phase_b	clic-validation-034	compact	1518	2024	3072432	192	85	85	33	102	132	91	26	16	17	8425850	8448768	8338684	22918	-87166	361750	37417	375791	50250
