
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	groups	candidate_won	production_exact	residual_ns	tokenization_ns	block_census_ns	seed_rank_assign_ns	group_frequency_ns	table_build_ns	packed_writer_ns	wrap_compare_ns	bytes	stream_hash
phase_a	clic-validation-000	compact	1512	2016	3048192	3040912	3037643	3269	0	192	41	1	1	7453666	13458125	34415791	43000	9208583	2593959	40377792	273916	8130642	0f02a28355405c35
phase_a	clic-validation-000	low-latency	1512	2016	3048192	3040912	3037643	3269	0	48	16	1	1	7626375	10804917	33943417	12833	8965292	2159709	40012084	163959	8259942	205e5806964e04fc
phase_a	clic-validation-001	compact	2048	1152	2359296	2351181	2348034	3147	0	144	37	1	1	5649375	7735458	24329959	28041	7107458	2060875	30993375	438208	6257982	8cdded93ea38d0c4
phase_a	clic-validation-001	low-latency	2048	1152	2359296	2351181	2348034	3147	0	40	16	1	1	5793166	7886833	24396666	10375	6784958	1781083	30584250	185958	6309214	ba19efae1920b5b5
phase_a	clic-validation-002	compact	2048	1152	2359296	2358816	2358599	217	0	144	30	1	1	5666542	7240458	20190167	27125	7173708	1783667	30770875	119833	5799410	44ed3741c525c80c
phase_a	clic-validation-002	low-latency	2048	1152	2359296	2358816	2358599	217	0	40	12	1	1	5954833	7345583	20781542	10791	6615584	1594959	30049375	143459	5942826	af8571cc2446a9be
phase_a	clic-validation-003	compact	2048	1152	2359296	2352445	2350862	1583	0	144	34	1	1	5717042	7349209	21658000	25375	7185959	1960291	31380584	128709	6050450	e907a2e37937e785
phase_a	clic-validation-003	low-latency	2048	1152	2359296	2352445	2350862	1583	0	40	16	1	1	5615375	7446792	21842000	9458	6863167	1636208	30111208	131000	6126922	7d6a58d075d31a26
phase_a	clic-validation-004	compact	2048	1152	2359296	2347806	2343008	4798	0	144	15	1	1	5830542	8136334	28395000	13083	7025959	1589041	30113208	111334	5328258	06ddd8677593609e
phase_a	clic-validation-004	low-latency	2048	1152	2359296	2347806	2343008	4798	0	40	9	1	1	5822375	8307042	28746959	4750	7139750	1455250	29810042	106834	5437070	2dc381d95ce7a611
phase_a	clic-validation-005	compact	2048	1152	2359296	2164453	2125124	39329	0	144	23	1	1	5756292	9317209	23554375	18375	7024667	1827500	28914625	108541	5539552	38ab4fcd4b83074a
phase_a	clic-validation-005	low-latency	2048	1152	2359296	2164453	2125124	39329	0	40	13	1	1	5652000	9163875	23345000	7709	6940250	1525709	27787875	114375	5390698	2221ba24f8b7e39a
phase_a	clic-validation-006	compact	2048	1152	2359296	2284049	2260504	23545	0	144	25	1	1	5778583	8985416	29181792	38708	7604833	1693958	29485792	104916	5188746	dc82c3867cd27ef5
phase_a	clic-validation-006	low-latency	2048	1152	2359296	2284049	2260504	23545	0	40	16	1	1	5706750	9343125	28972459	8375	7098000	1411667	29629875	131417	5209140	09cead9651c5fb23
phase_a	clic-validation-007	compact	1512	2016	3048192	3032461	3027307	5154	0	192	49	1	1	7326542	10205000	31755042	44750	9696125	2802625	40351500	245208	7922454	cab5aafc5dbe6bc5
phase_a	clic-validation-007	low-latency	1512	2016	3048192	3032461	3027307	5154	0	48	16	1	1	7509000	10171959	32145000	9959	9130708	2076500	39563791	150334	8112576	4bc674812323efaf
phase_a	clic-validation-008	compact	2016	980	1975680	1940261	1926354	13907	0	128	25	1	1	4889250	7499500	18377667	22583	6241666	1586792	25436500	88458	4327522	41057fcac4692baf
phase_a	clic-validation-008	low-latency	2016	980	1975680	1940261	1926354	13907	0	32	16	1	1	4790250	7978875	18087250	7083	5723750	1396000	25164000	84208	4391630	9c8d110f84c6ab0f
phase_a	clic-validation-009	compact	2016	980	1975680	1944569	1933999	10570	0	128	26	1	1	4812875	7709041	17275291	18792	6123708	1748000	25779083	112917	5063414	5cec33e99360af39
phase_a	clic-validation-009	low-latency	2016	980	1975680	1944569	1933999	10570	0	32	11	1	1	4934917	7738834	17213417	6875	6108541	1478500	25142416	124000	5114026	cd11260673851ac2
phase_a	clic-validation-010	compact	1434	1123	1610382	1607187	1605828	1359	0	108	28	1	1	4098667	5291625	18243459	20291	4814500	1542000	22176417	110959	3997470	e39fa39b81d063c4
phase_a	clic-validation-010	low-latency	1434	1123	1610382	1607187	1605828	1359	0	30	16	1	1	3830875	5188917	18130791	7500	4631208	1344083	20914208	108625	4032212	b3f35799b19cb083
phase_a	clic-validation-011	compact	996	756	752976	752571	752434	137	0	48	24	1	1	1878250	2275500	6966583	11166	2311250	968792	10350333	44958	1961344	9e7fedd69fae81d4
phase_a	clic-validation-011	low-latency	996	756	752976	752571	752434	137	0	12	8	1	1	1786417	2233625	6926542	5333	2159250	620875	9542417	45916	2023660	0dee869344112095
phase_a	clic-validation-012	compact	1632	1224	1997568	1993870	1992217	1653	0	130	30	1	1	5033875	6838375	23092375	24667	6180875	1675208	26445333	92666	4891824	c7ca321d2e5ff1ef
phase_a	clic-validation-012	low-latency	1632	1224	1997568	1993870	1992217	1653	0	35	16	1	1	4925750	6924250	22578292	7584	5899209	1412208	25654250	102208	5008486	c8a6ca1f27fee40c
phase_a	clic-validation-013	compact	1632	1224	1997568	1986533	1982425	4108	0	130	37	1	1	4713625	6923083	19871042	25458	6177083	1975167	26267625	103875	5058144	018d6fc3bf5a4998
phase_a	clic-validation-013	low-latency	1632	1224	1997568	1986533	1982425	4108	0	35	16	1	1	4976458	6559750	19788250	15125	5963500	1504500	26443333	103750	5153972	d0fd577c198f05ca
phase_a	clic-validation-014	compact	1632	1224	1997568	1983602	1978280	5322	0	130	48	1	1	5003375	6801041	19474041	32500	6326166	2105542	26336792	123083	5293592	6839d747d9b3ecd3
phase_a	clic-validation-014	low-latency	1632	1224	1997568	1983602	1978280	5322	0	35	16	1	1	4821208	6881125	19530209	23250	5949209	1515791	26553167	99708	5386808	2f0e2ce078dfa0e0
phase_a	clic-validation-015	compact	1632	1224	1997568	1991976	1990030	1946	0	130	32	1	1	4999292	6413500	19535208	27542	6217125	1942292	26721625	114583	5656200	e1e43c8a3678dc0d
phase_a	clic-validation-015	low-latency	1632	1224	1997568	1991976	1990030	1946	0	35	15	1	1	5056250	6550875	19177375	8166	6135959	1447500	25933542	123833	5684412	e4114154d23303f0
phase_a	clic-validation-016	compact	1632	1224	1997568	1980366	1973373	6993	0	130	27	1	1	5069625	7349584	23953834	22792	6235250	1626416	26077084	136334	4555750	d74e0485d62c6a97
phase_a	clic-validation-016	low-latency	1632	1224	1997568	1980366	1973373	6993	0	35	16	1	1	4926416	7396750	23725250	9292	6001125	1423084	25533875	117458	4701704	709af32520817fe5
phase_a	clic-validation-017	compact	1512	2016	3048192	2911361	2861257	50104	0	192	26	1	1	7529625	14101917	35122958	25208	9988250	2138000	39017375	166250	6691500	ec0a33bc3dd53d6d
phase_a	clic-validation-017	low-latency	1512	2016	3048192	2911361	2861257	50104	0	48	15	1	1	7379084	14099209	34757667	10917	9412583	1956083	38138792	135750	6719656	00d466397d9cf7a6
phase_a	clic-validation-018	compact	1224	1632	1997568	1977130	1971003	6127	0	130	25	1	1	4957250	7131500	21919417	19958	6432375	1675375	26979375	106250	5115144	61a83d9e32466dda
phase_a	clic-validation-018	low-latency	1224	1632	1997568	1977130	1971003	6127	0	35	14	1	1	4907334	7184833	21949416	8833	6152834	1460292	26066958	130541	5118420	eb054bdbdfb3c853
phase_a	clic-validation-019	compact	1632	1224	1997568	1934222	1916208	18014	0	130	39	1	1	4945333	8029542	19016000	25625	6377583	1960333	26082625	128875	5039696	b07bddc8d312f434
