file	bytes	sha256
alpha_color_cache.webp	1838	c4b9e2459858e6f6a1d919c2adeb73d7e2ad251d6bfbfb99303a6b4508ca757a
alpha_filter_0_method_0.webp	22038	150ff79f16e254281153d7e75e5968663c7f83ae58217b36c12d11088045eb07
alpha_filter_0_method_1.webp	12162	96f514bce6faa65330eba17c06eb1cf120ba8c133288ab2633afa63d7c6c66ad
alpha_filter_1.webp	114	53ad8a7038fed7bdfa90db1c1f987782a9f46903aaccd5ad04dd78d067632fba
alpha_filter_1_method_0.webp	22038	4dc2d060c723aa0a855bc696191d220a60a36bad014cda9764ee93516fa9f073
alpha_filter_1_method_1.webp	15592	79000c9c553f28e4ea589e772dd46a47a604f961050ca191a84a03d92d212eb8
alpha_filter_2.webp	114	0a1eba20a9ba6a09735c2424d31e26c9282be64a0d7795dd689a42c4921d436b
alpha_filter_2_method_0.webp	22038	3d169bfee11e65f1b5870142531d1e35539e2686640d19fa196b36a5b7b33a45
alpha_filter_2_method_1.webp	15604	16ce80b417c8d5d95d895e3a50be00247262a3ab5700e2a22a408f5042884042
alpha_filter_3.webp	118	4052952ea401afa934b2d262f2852f615160c7cb82c4406c47622d26b343e95e
alpha_filter_3_method_0.webp	22038	79c7f73faec6a9b0f7ec5d274a3dd10a7eb002ebab114122a49f9794c5b8541a
alpha_filter_3_method_1.webp	18266	e11b944fd8aa2e5f90c7bea05527a94e919492bef0bc464bac1493e00724ae01
alpha_no_compression.webp	336	864de77c2209a8346004f8fe5595ffb35cfaacb71f385cc8487236689056df7d
big_endian_bug_393.webp	16314	98a6e7553385d38156b3e25f859519f58282734029eaf9f2cddb0fb21449f83f
dual_transform.webp	204	cf34d6890786e48bd00b1a1532de1a8508d96f8b5ca8c1c08b16230db86532af
lossless1.webp	15368	5eaf3d3e7f7a38487afa8d3f91062167eb061cd6a5dfa455d24a9a2004860311
lossless2.webp	15898	5131b5d7c0ba6bd7d6e6f74a325e0ffa2d388197b5132ed46a5c36ea8453cb22
lossless3.webp	15734	2bcca2ea2a1a43d19c839528e9b831519e0a6875e4c9a2ce8bb9c34bb85ece3a
lossless4.webp	4332	a96cc5243569ada325efadb3a6c78816b4a015a73283a400c5cc94893584901f
lossless_big_random_alpha.webp	13968454	8e31b6c8366bd69ec40218fa0d5399cd20f65ba902ce36f6082885f3964faa89
lossless_vec_1_0.webp	50	011089057caf7e11c9a59d3ec2b3448ea56d83545622e313f8584a22c322bc90
lossless_vec_1_1.webp	106	482c1304367ede7a4b2e43e14aefced318c075e82e466473720d3bdabc0526fc
lossless_vec_1_10.webp	80	f91a575ba29729357a612eb511a9ebab725c2d34a6a6eaaf6b6a16cee3ba25a2
lossless_vec_1_11.webp	132	e598e8d2aef6a562a80c3fc9cb7cc6fdd979e210c26ed3a4defbdf895ae1c1cc
lossless_vec_1_12.webp	56	45fa843b9d374e1949f58e9d0d2a2ecf97d4a9cc2af55dfa3ef488d846ea3c80
lossless_vec_1_13.webp	114	04a9d1c2e8b43224f5d12623e4a085be1e1c5dda716bfd108202c64b1d796179
lossless_vec_1_14.webp	78	a8b8130c71e6958fd7eab9539f431125a35075cf0c38fc7ebb1316aa0a4d1946
lossless_vec_1_15.webp	130	f06eaa2e3fdc11235d9b9c14485e6e5a83f4f4de10caf05a70c0fdfc253c7a67
lossless_vec_1_2.webp	76	eed151dabacbad9b99aa5ad47787240f5344d8cd653f2c3842ccc0f95d6ce798
lossless_vec_1_3.webp	132	45a32abfcc449acff80249885078ffe56d244d85db7120fdb30f58ae2bf89ac9
lossless_vec_1_4.webp	50	6021a817ad3e17053de4b170b9ff2c7646ee2ef365b23a5e75bea3159d83023a
lossless_vec_1_5.webp	106	673161af330a911bd6a3bc3f0ab266a34eafba139a174372dd20727b8831e7e1
lossless_vec_1_6.webp	76	b90db591321b6235cfbf2c4a9083f29459185b84953c7ca02b47da16f82df149
lossless_vec_1_7.webp	122	89aaf7749eefb289403ca6bdac93c0b80ac47da498f5064ea9f064994479045e
lossless_vec_1_8.webp	56	8c255d6803fb2d9fa549322e9eb1ac5641ee091c32a24810310464d207bb73cc
lossless_vec_1_9.webp	112	99e579d9b23ac41a1c6162b6c0585d7cd9a797058f7c89e5a5a245bd159cd1b0
lossy_alpha1.webp	19478	403dff2d4cffc78607bcd6088fade38ed4a0b26e83b2927b0b1f28c0a826ef1c
lossy_alpha2.webp	13566	5f2cd2585d5254903227bd86f367b400861cde62db9337fb74dd98d6123ce06c
lossy_alpha3.webp	9960	ca1d20c440c56eb8b1507e2abafe3447a4f4e11f3d4976a0dc1e93df68881126
lossy_alpha4.webp	4262	2feb221aee944cb273b11cf02c268601d657f6a8def745e4a6b24031650cd701
one_color_no_palette.webp	28	222804e883882765a3a2a92606d576371be7599fcd9accfb81d937743fdd9f81
